Pattern peak pointing direction for each lens in the array due to single patch activation - (ThetaPk [deg]/PhiPk [deg]/peak gain loss referenced to patch max peak) - S2000_TLM_Tx_ES2_Th0_0_70_igloo10_MaxGainLocal_4actFeeds_RHCP
Lens assembly model name,EVT_Tx_ES2_Valtium00_Npa76_UnBal_L6_100_5_Nominal_27.75_30.75_Nf7,
No. of lenses,3,
No. of Patches,76,
freq. in GHz
29.500,
Theta0 [deg],Phi0 [deg], Gain loss [dB],
45.500000,-27.000000,-0.758233
42.000000,-6.500000,-0.853100
44.500000,14.500000,-0.925539
51.500000,31.500000,-0.303312
48.000000,49.000000,-0.553707
49.000000,68.500000,-0.230778
53.500000,84.500000,-0.574479
48.000000,101.500000,-0.145032
47.000000,120.500000,-0.448635
50.500000,138.500000,-0.105611
58.500000,153.000000,-1.520015
53.500000,168.500000,-0.682558
54.500000,-175.000000,-0.688844
59.500000,-159.500000,-1.908500
52.000000,-145.000000,-0.440171
49.500000,-127.500000,-0.231698
50.500000,-109.500000,0.000000
57.000000,-94.000000,-1.043143
51.500000,-78.000000,-0.079087
49.500000,-60.000000,-0.408031
53.500000,-43.000000,-0.407754
60.000000,-28.500000,-2.003857
55.500000,-14.500000,-0.874277
55.500000,2.000000,-0.923234
59.500000,17.000000,-1.856229
66.500000,30.000000,-4.626638
61.000000,43.500000,-2.464887
59.500000,58.500000,-2.197605
62.500000,72.500000,-2.679427
68.000000,84.500000,-5.669349
62.500000,97.500000,-3.109912
59.500000,112.000000,-2.454873
61.000000,126.500000,-2.575630
65.500000,140.500000,-4.139150
68.500000,164.500000,-5.878454
67.500000,177.000000,-4.737372
69.500000,-171.000000,-6.242882
66.500000,-147.500000,-4.826268
63.500000,-134.000000,-3.098911
62.500000,-119.500000,-2.566214
65.000000,-105.500000,-3.794492
70.500000,-93.500000,-7.496003
65.000000,-81.500000,-4.157615
62.500000,-68.500000,-3.035429
63.500000,-54.000000,-3.224179
67.500000,-41.500000,-5.447166
70.000000,-18.500000,-6.944850
67.500000,-6.000000,-4.708249
69.500000,7.000000,-6.166827
