OP_COMBINER_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,None
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
1.4086495635687466, 292.692793385254, 2.928923661891005, 220.31835571956566, 3.7786521050061674, 145.30065057962273, 5.090413652152622, 72.4243162335441, 5.629204024905372, 358.53546531203335, 6.107614164216718, 286.3460874176491, 5.822223758439762, 211.28737525842513, 5.659717713021191, 142.1232278932325, 5.6650087699556915, 74.73621812344228, 5.562584579306714, 9.379155958684983, 5.801251031339294, 304.2755303551601, 6.393925036472583, 241.20586289264747, 6.388224565853903, 174.96371514855738, 7.058410946681585, 109.26331139520555, 7.6839232750566016, 42.79597704006973, 8.460955572960488, 338.9037592814926, 9.222410156423368, 268.65590201142464, 9.729287350669132, 200.332964495132, 10.11830604487017, 130.7373398470132, 10.143803301390918, 60.3971757936358, 9.847044847301918, 356.12186276533345, 10.15754417916183, 288.1858263978362, 10.321434327435359, 223.61532532975147, 10.620387576575945, 157.24527934422184, 11.233982230886017, 88.0218708908093, 11.283223220847278, 21.363202886670695, 11.19647343845159, 312.76779331134935, 11.634721445983416, 246.74269755022078, 11.990550502363849, 180.4872226146371, 11.967548362759274, 107.43703061346906, 11.97088261796371, 37.4001983674944, 11.569506550560874, 328.3572917541373, 11.423502254105777, 259.61604421967394, 10.94570962724734, 193.2988431952341, 10.964438071600334, 120.76907497471667, 10.48951271435703, 51.33721191963723
3.2467154087417107, 346.6057667230096, 4.916804003375649, 270.16304673819445, 5.813080187250978, 195.03069266308336, 7.460064639896728, 118.69332001995966, 8.28613970417621, 43.739538926608006, 8.896317776579899, 327.3965078686564, 8.919171877584187, 251.554235369086, 8.906858845601072, 178.37478472748296, 8.793205308456148, 109.25417835075717, 8.798891078275055, 39.68266202209522, 9.019614764233317, 332.1473181510808, 9.516145727202204, 264.844341735002, 9.589873618480366, 195.845809599192, 9.878840230349851, 126.43425657703514, 10.391337356207677, 58.617229553863446, 10.95778873939193, 351.8454773074122, 11.451777433345638, 280.04425030110133, 11.689793528330622, 209.4042161208134, 11.861192824916545, 137.67545966103526, 11.694514346946223, 65.39861011499488, 11.33322162654084, 359.69468567749243, 11.150128494700644, 290.6202371186982, 11.181743501359588, 225.04577793406898, 11.307851660564122, 158.4911952796458, 11.805108732201274, 88.59019023162044, 11.76463515493666, 20.984409033791977, 11.53113906835221, 312.8244065417183, 11.829844842549038, 245.8755114608843, 12.157039095551838, 178.39027594045822, 12.053633078834139, 105.76589387691664, 12.089667940140739, 35.362147857360156, 11.78053750268237, 325.3460688107965, 11.834674908076002, 256.6324046741882, 11.49814014351362, 188.40868194947396, 11.598785746992492, 115.17589193199089, 11.084322440093109, 44.79112130049171
6.70864672168972, 322.8493036695442, 8.43389842202576, 249.34962436967197, 9.417254800760507, 175.82976912486825, 10.985744443275063, 101.592724942047, 11.791978423848061, 27.133837728492704, 12.567344219724767, 313.26669408020496, 12.553363757165425, 238.28706181546283, 12.523374590852876, 167.26341369162233, 12.651442214632542, 99.30553117044559, 12.751288697337532, 31.578477357317485, 12.962165962749461, 325.17787364504613, 13.726468542198045, 259.5764082166618, 13.878635418363281, 192.17000815018383, 14.336715821208305, 123.76619545129873, 14.951858452510917, 56.6183809402063, 15.785074004085075, 350.76295088450263, 16.53979022114439, 279.78221714540155, 16.826459907156202, 210.18236978180056, 17.228664574047553, 138.83917205836053, 17.237640545902103, 67.71506072265836, 16.964726334799675, 2.2100334082452666, 17.09899996645934, 293.311787939595, 17.28082124202967, 227.9056295587119, 17.417771673778464, 161.26137337675894, 18.00966841703217, 91.06786537327102, 18.050464048742676, 23.081272781991817, 17.950956099772405, 314.65884585457644, 18.262707603384186, 247.7511873474735, 18.6350773480731, 180.12799362229615, 18.61899967601779, 106.66482240158997, 18.58045733712317, 36.041237283171384, 18.181409496981015, 326.13734571757436, 17.985012620421497, 257.47333466654356, 17.421390097848455, 188.91017456786838, 17.52329042229097, 115.86730613725685, 17.006471700549287, 46.0374179773625
