RFC_240701-17_17_45-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:45
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,None
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
0.0000,255.8656,0.0000,122.7421,0.0000,351.6543,0.0000,219.8905,0.0000,98.5758,0.0000,322.9159,0.0000,189.1100,0.0000,53.0704,0.0000,260.5437,0.0000,123.1687,0.0000,331.9598,0.0000,188.7783,0.0000,37.5696,0.0000,253.9076,0.0000,110.4996,0.0000,321.2028,0.0000,170.8846,0.0000,24.4115,0.0000,236.2768,0.0000,89.5555,0.0000,295.3526,0.0000,144.0597,0.0000,341.5491,0.0000,186.6201,0.0000,27.1488,0.0000,227.8832,0.0000,65.4567,0.0000,268.1828,0.0000,109.9057,0.0000,323.9982,0.0000,165.6803,0.0000,8.9164,0.0000,218.8117,0.0000,76.6331,0.0000,293.3144,0.0000,148.6668
0.0000,262.9986,0.0000,126.1679,0.0000,353.5794,0.0000,219.8939,0.0000,95.2895,0.0000,316.1194,0.0000,179.9396,0.0000,39.3275,0.0000,246.2025,0.0000,107.4078,0.0000,315.1603,0.0000,172.5104,0.0000,23.2014,0.0000,241.6537,0.0000,102.2542,0.0000,317.5769,0.0000,172.7507,0.0000,31.5671,0.0000,249.3573,0.0000,108.7200,0.0000,320.2991,0.0000,173.3965,0.0000,17.4508,0.0000,226.8277,0.0000,73.5312,0.0000,277.3273,0.0000,121.0685,0.0000,326.7697,0.0000,173.0150,0.0000,30.6080,0.0000,234.9830,0.0000,81.6302,0.0000,293.9241,0.0000,153.3650,0.0000,11.7344,0.0000,229.8436
