Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
1.00,61.00,0.00,-37.50,-8.75,-18.02,315.00,45.00,45.00,0.00
1.00,62.00,0.00,-37.50,-16.25,-22.34,135.00,315.00,45.00,0.00
1.00,63.00,0.00,-37.50,-18.75,-26.68,315.00,45.00,45.00,0.00
1.00,64.00,0.00,-37.50,-21.25,-31.00,135.00,315.00,45.00,0.00
1.00,65.00,0.00,-37.50,-21.25,-39.66,315.00,45.00,45.00,0.00
1.00,66.00,0.00,-37.50,-18.75,-43.99,315.00,315.00,45.00,0.00
1.00,67.00,0.00,-37.50,-16.25,-48.33,315.00,45.00,45.00,0.00
1.00,68.00,0.00,-37.50,-13.75,-52.66,315.00,315.00,45.00,0.00
1.00,69.00,0.00,-37.50,-11.25,-56.98,315.00,45.00,45.00,0.00
1.00,70.00,0.00,-37.50,-6.25,-56.98,315.00,315.00,45.00,0.00
1.00,71.00,0.00,-37.50,-1.25,-56.98,315.00,45.00,45.00,0.00
1.00,72.00,0.00,-37.50,3.75,-56.98,315.00,315.00,45.00,0.00
1.00,73.00,0.00,-37.50,8.75,-56.98,315.00,45.00,45.00,0.00
1.00,74.00,0.00,-37.50,16.25,-52.66,315.00,315.00,45.00,0.00
1.00,75.00,0.00,-37.50,18.75,-48.33,315.00,45.00,45.00,0.00
1.00,76.00,0.00,-37.50,21.25,-43.99,315.00,315.00,45.00,0.00
2.00,1.00,32.50,18.75,30.11,19.49,57.75,147.75,147.75,102.75
2.00,2.00,32.50,18.75,31.22,14.61,57.75,57.75,147.75,102.75
2.00,3.00,32.50,18.75,34.89,18.01,57.75,147.75,147.75,102.75
2.00,4.00,32.50,18.75,33.78,22.89,57.75,57.75,147.75,102.75
2.00,5.00,32.50,18.75,29.01,24.37,57.75,147.75,147.75,102.75
2.00,6.00,32.50,18.75,25.34,20.97,57.75,57.75,147.75,102.75
2.00,7.00,32.50,18.75,26.44,16.10,57.75,147.75,147.75,102.75
