0,244.0639,0,245.1992,0,248.7519,0,250.9512,0,252.9404,0,254.9512,0,256.979,0,259.0187,0,261.0653,0,262.573,0,264.0112,0,265.4306,0,266.1335,0,266.8011,0,267.4658,0,269.6708,0,271.8946,0,274.1308,0,276.3724,0,278.6128,0,281.0842,0,283.8676,0,287.0578,0,290.2996,0,293.5731,0,296.8573,0,300.1306,0,303.3719,0,306.5522,0,309.0559,0,311.5594,0,314.0678,0,316.5814,0,319.0905,0,321.5857,0,324.0576
0,244.0639,0,244.5202,0,248.5233,0,251.0817,0,253.0687,0,255.0769,0,257.1017,0,259.1381,0,261.1811,0,263.2254,0,264.7236,0,266.1423,0,267.2138,0,267.8789,0,268.5409,0,270.7489,0,272.9724,0,275.2049,0,277.4397,0,279.67,0,281.889,0,284.4873,0,287.681,0,290.9223,0,294.1912,0,297.4983,0,300.9784,0,304.4343,0,307.8417,0,309.4475,0,311.9469,0,314.4597,0,316.9763,0,319.4868,0,321.9818,0,324.4521
0,244.0639,0,243.8417,0,248.295,0,251.2118,0,253.1966,0,255.2022,0,257.224,0,259.2571,0,261.2964,0,263.3369,0,265.3733,0,266.858,0,268.2535,0,268.9556,0,269.6144,0,271.8238,0,274.0454,0,276.2728,0,278.4993,0,280.718,0,282.9225,0,285.1064,0,288.4869,0,291.9331,0,295.4217,0,298.9271,0,302.4233,0,305.8845,0,309.2866,0,310.8268,0,312.3804,0,314.8528,0,317.3719,0,319.8836,0,322.3783,0,324.8467
0,244.0639,0,243.1639,0,248.067,0,251.3415,0,253.324,0,255.327,0,257.3459,0,259.3756,0,261.4114,0,263.4479,0,265.4801,0,267.5029,0,268.9707,0,270.0305,0,270.6856,0,272.8948,0,275.113,0,277.3338,0,279.5504,0,281.7563,0,283.5131,0,285.1672,0,289.7162,0,293.3233,0,296.8451,0,300.3733,0,303.8813,0,307.3434,0,310.7358,0,312.2835,0,313.8425,0,315.4107,0,317.7684,0,320.2809,0,322.775,0,325.2413
0,244.0639,0,243.1501,0,247.8394,0,251.1183,0,253.4511,0,255.4515,0,257.4673,0,259.4938,0,261.5259,0,263.5585,0,265.5864,0,267.6048,0,269.6087,0,271.0562,0,271.7538,0,273.9612,0,276.1745,0,278.3872,0,280.2485,0,281.9133,0,283.5741,0,285.2281,0,289.7781,0,294.4899,0,298.2888,0,301.8356,0,305.3508,0,308.809,0,312.1872,0,313.7405,0,315.303,0,316.8725,0,318.4466,0,320.6787,0,323.1719,0,325.6358
0,244.0639,0,243.1501,0,247.6121,0,250.8879,0,253.5778,0,255.5755,0,257.5884,0,259.6115,0,261.6399,0,263.6686,0,265.6924,0,267.7064,0,269.7056,0,271.6855,0,272.8181,0,275.0223,0,276.9786,0,278.6433,0,280.3094,0,281.9743,0,283.635,0,285.2889,0,289.8401,0,294.5521,0,299.3674,0,303.3121,0,306.8299,0,310.2797,0,313.6392,0,315.1961,0,316.76,0,318.3287,0,319.8998,0,321.4711,0,323.569,0,326.0304
0,244.0639,0,243.1501,0,247.3851,0,250.6577,0,253.7041,0,255.6992,0,257.709,0,259.7288,0,261.7536,0,263.7783,0,265.7979,0,267.8075,0,269.8021,0,271.7773,0,273.8741,0,275.3782,0,277.039,0,278.704,0,280.3703,0,282.0353,0,283.696,0,285.3497,0,289.902,0,294.6143,0,299.429,0,304.2802,0,308.3168,0,311.7534,0,315.0898,0,316.6482,0,318.2116,0,319.7775,0,321.3437,0,322.9078,0,324.4676,0,326.4248
0,244.0639,0,243.1501,0,247.0195,0,250.4278,0,253.7206,0,255.8224,0,257.8292,0,259.8457,0,261.8668,0,263.8876,0,265.903,0,267.9082,0,269.8983,0,271.8687,0,274.9092,0,275.7072,0,277.0995,0,278.7647,0,280.4312,0,282.0963,0,283.7569,0,285.4106,0,289.9638,0,294.6764,0,299.4905,0,304.3402,0,309.1566,0,313.2282,0,316.5373,0,318.0952,0,319.6559,0,321.2171,0,322.7764,0,324.1704,0,324.563,0,324.9565
0,244.0639,0,243.1501,0,246.339,0,250.1982,0,253.489,0,255.9452,0,257.949,0,259.9621,0,261.9796,0,263.9965,0,266.0077,0,268.0085,0,269.994,0,272.3911,0,275.9482,0,276.7481,0,277.5487,0,278.8254,0,280.4922,0,282.1572,0,283.8179,0,285.4714,0,290.0257,0,294.7385,0,299.552,0,304.4001,0,309.2142,0,313.9281,0,317.9796,0,319.5352,0,320.2682,0,320.6557,0,321.0444,0,321.4343,0,321.8254,0,322.2176
0,244.0639,0,243.1501,0,245.6585,0,249.9688,0,253.2576,0,256.0676,0,258.0684,0,260.0782,0,262.092,0,264.1049,0,266.112,0,268.1084,0,270.0893,0,273.427,0,276.9905,0,277.7918,0,278.5934,0,279.3949,0,280.5531,0,282.2182,0,283.8789,0,285.5322,0,290.0876,0,294.8006,0,299.6134,0,304.4601,0,309.2717,0,313.9131,0,318.1653,0,317.14,0,317.5219,0,317.9052,0,318.29,0,318.6763,0,319.064,0,319.453
0,244.0639,0,243.1501,0,244.9781,0,249.7396,0,253.0264,0,256.1897,0,258.1874,0,260.1938,0,262.204,0,264.213,0,266.2159,0,268.2079,0,270.8974,0,274.4679,0,278.0354,0,278.8376,0,279.6397,0,280.4412,0,281.2419,0,282.2792,0,283.9398,0,285.5931,0,290.1494,0,294.8627,0,299.6749,0,304.4732,0,308.9701,0,313.3731,0,317.6352,0,316.3613,0,315.0825,0,315.149,0,315.5282,0,315.909,0,316.2914,0,316.6755
0,244.0639,0,243.1501,0,244.2982,0,249.5107,0,252.7953,0,256.0877,0,258.306,0,260.309,0,262.3155,0,264.3206,0,266.3193,0,268.3692,0,271.9327,0,275.513,0,279.0823,0,279.8848,0,280.6868,0,281.4878,0,282.2876,0,283.0859,0,284.0008,0,285.6539,0,290.2113,0,294.9025,0,299.407,0,303.934,0,308.4274,0,312.8335,0,317.1049,0,315.8298,0,314.5503,0,313.2678,0,312.7716,0,313.1452,0,313.5207,0,313.8979
0,244.0639,0,243.1501,0,243.6189,0,249.2821,0,252.5644,0,255.856,0,258.4241,0,260.4238,0,262.4266,0,264.4278,0,266.4223,0,269.395,0,272.974,0,276.5618,0,280.1304,0,280.9328,0,281.7341,0,282.5341,0,283.3325,0,284.1289,0,284.9231,0,285.7147,0,289.9892,0,294.394,0,298.8811,0,303.397,0,307.8861,0,312.2946,0,316.5744,0,315.2983,0,314.0185,0,312.7361,0,311.4524,0,310.3978,0,310.7646,0,311.1334
0,244.0639,0,243.1501,0,242.9404,0,249.0538,0,252.3336,0,255.6244,0,258.5419,0,260.5381,0,262.5373,0,264.5345,0,266.8645,0,270.4283,0,274.0207,0,277.6136,0,281.179,0,281.9807,0,282.7809,0,283.5793,0,284.3758,0,285.1698,0,285.9613,0,286.481,0,289.9492,0,293.8891,0,298.3582,0,302.8624,0,307.3464,0,311.7564,0,316.0439,0,314.7671,0,313.487,0,312.2049,0,310.9222,0,309.64,0,308.3596,0,308.3945
0,244.0639,0,243.1501,0,242.2628,0,248.8258,0,252.1031,0,255.3928,0,258.6592,0,260.6521,0,262.6476,0,264.6409,0,267.8859,0,271.4686,0,275.072,0,278.6676,0,282.2275,0,283.0279,0,283.8264,0,284.6228,0,285.4168,0,286.208,0,286.7545,0,287.2484,0,290.728,0,294.289,0,297.906,0,302.3301,0,306.8082,0,311.219,0,315.5134,0,314.2361,0,312.956,0,311.6745,0,310.3928,0,309.1122,0,307.834,0,306.6976
0,244.0639,0,243.1501,0,242.2352,0,248.1636,0,251.8727,0,255.1613,0,258.4423,0,260.7657,0,262.7575,0,265.3567,0,268.9157,0,272.5152,0,276.1272,0,279.7231,0,283.2751,0,284.0737,0,284.87,0,285.6638,0,286.4548,0,287.028,0,287.522,0,288.0166,0,291.5064,0,295.0718,0,298.687,0,302.3239,0,306.2718,0,310.6825,0,314.983,0,313.7055,0,312.4257,0,311.1449,0,309.9128,0,308.7807,0,307.6497,0,306.5206
0,244.0639,0,243.1501,0,242.2352,0,247.4824,0,251.6426,0,254.93,0,258.2113,0,260.8788,0,262.867,0,266.3721,0,269.9535,0,273.5676,0,277.1858,0,280.7795,0,284.3212,0,285.1174,0,285.911,0,286.7017,0,287.3015,0,287.7956,0,288.2903,0,288.7854,0,292.284,0,295.8525,0,299.4646,0,303.0922,0,306.7061,0,310.2783,0,314.4529,0,313.1753,0,312.0005,0,310.8684,0,309.7358,0,308.6036,0,307.4726,0,306.3437
0,244.0639,0,243.1501,0,242.2352,0,246.8009,0,251.4126,0,254.6987,0,257.9802,0,260.9915,0,263.8477,0,267.397,0,270.9987,0,274.6249,0,278.2469,0,281.836,0,285.365,0,286.1584,0,286.9488,0,287.5749,0,288.0691,0,288.5638,0,289.0589,0,289.5544,0,293.0607,0,296.6309,0,300.2386,0,303.8555,0,307.4528,0,311.003,0,313.7622,0,312.9552,0,311.8241,0,310.6916,0,309.5588,0,308.4264,0,307.2954,0,306.1667
0,244.0639,0,243.1501,0,242.2352,0,246.1192,0,251.1829,0,254.4675,0,257.7491,0,261.0062,0,264.8513,0,268.4308,0,272.0505,0,275.6866,0,279.3099,0,282.8918,0,286.4058,0,287.1959,0,287.8483,0,288.3426,0,288.8373,0,289.3324,0,289.8278,0,290.3234,0,293.8361,0,297.4067,0,301.0086,0,304.6136,0,308.1933,0,310.6342,0,312.8775,0,312.1781,0,311.4778,0,310.5147,0,309.3817,0,308.2492,0,307.1182,0,305.9897
0,244.0639,0,243.1501,0,242.2352,0,245.4377,0,250.9534,0,254.2365,0,257.518,0,260.7766,0,264.4336,0,268.4102,0,272.4509,0,276.5166,0,280.374,0,283.9464,0,287.4431,0,288.1216,0,288.6159,0,289.1106,0,289.6057,0,290.101,0,290.5966,0,291.0922,0,294.6099,0,298.1796,0,301.7745,0,305.174,0,307.4671,0,309.742,0,311.9916,0,311.2914,0,310.5905,0,309.8893,0,309.1879,0,308.0719,0,306.9411,0,305.8127
0,244.0639,0,243.1501,0,242.2352,0,244.7564,0,250.7242,0,254.0056,0,257.2869,0,260.5469,0,264.0228,0,267.9802,0,272.0102,0,276.0695,0,280.1175,0,284.1144,0,288.0234,0,288.8891,0,289.3838,0,289.8789,0,290.3741,0,290.8695,0,291.365,0,291.8604,0,295.3818,0,298.9493,0,301.979,0,304.28,0,306.5728,0,308.8501,0,311.1051,0,310.4043,0,309.7033,0,309.0021,0,308.3009,0,307.6001,0,306.7639,0,305.6357
0,244.0639,0,243.1501,0,242.2352,0,244.0756,0,250.4951,0,253.7748,0,257.0559,0,260.3171,0,263.7922,0,267.5522,0,271.5712,0,275.6235,0,279.6691,0,283.6681,0,287.5833,0,288.4758,0,289.3689,0,290.2623,0,291.1422,0,291.6375,0,292.1327,0,292.6278,0,296.1517,0,298.7977,0,301.0923,0,303.389,0,305.6803,0,307.9591,0,310.2182,0,309.5174,0,308.8164,0,308.1156,0,307.4151,0,306.7152,0,306.016,0,304.8612
0,244.0639,0,243.1501,0,242.2352,0,243.3955,0,249.9903,0,253.5441,0,256.8249,0,260.0873,0,263.5614,0,267.1263,0,271.1337,0,275.1787,0,279.2214,0,283.2219,0,287.1429,0,288.0355,0,288.9289,0,289.8228,0,290.7167,0,291.6101,0,292.5028,0,293.3941,0,295.6494,0,297.9238,0,300.2102,0,302.5015,0,304.7903,0,307.0693,0,309.3316,0,308.6309,0,307.9303,0,307.2302,0,306.5307,0,305.6549,0,303.6672,0,301.6584
0,244.0639,0,243.1501,0,242.2352,0,242.7162,0,249.3098,0,253.3136,0,256.594,0,259.8574,0,263.3305,0,266.8502,0,270.6979,0,274.7351,0,278.7744,0,282.776,0,286.7023,0,287.5948,0,288.4884,0,289.3827,0,290.2772,0,291.1715,0,292.0652,0,291.9255,0,294.4205,0,296.925,0,299.333,0,301.6178,0,303.903,0,306.1812,0,308.4455,0,307.7453,0,307.0456,0,306.3465,0,304.466,0,302.4626,0,300.4408,0,298.4054
0,244.0639,0,243.1501,0,242.2352,0,242.038,0,248.6284,0,253.0833,0,256.3631,0,259.6274,0,263.0993,0,266.6196,0,270.2637,0,274.2928,0,278.3282,0,282.3304,0,286.2615,0,287.1539,0,288.0476,0,288.9421,0,289.8372,0,290.7322,0,291.2628,0,290.449,0,292.9463,0,295.4587,0,297.9768,0,300.4907,0,302.991,0,305.2952,0,307.5604,0,306.861,0,305.2631,0,303.2658,0,301.2483,0,299.2152,0,297.1715,0,295.1225
