First line is descriptive text that is ignored by the preparation tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTheta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaTheta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumTheta,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstPhi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaPhi,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPhi,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,20200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarisation,RHCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriLensQR,440-0375-00285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LensNumber,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawAttenPhase,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,335.9844,0,335.6613,0,335.3382,0,335.0151,0,334.6919,0,334.3688,0,334.0457,0,333.7227,0,334.0453,0,334.368,0,334.6907,0,335.0134,0,335.3361,0,335.6588,0,335.9815,0,336.4236,0,336.8659,0,337.3083,0,337.7506,0,338.193,0,338.6353,0,339.0774,0,338.4036,0,337.7294,0,337.0548,0,336.3802,0,335.7056,0,335.0314,0,334.3576,0,334.6643,0,334.9711,0,335.2779,0,335.5847,0,335.8915,0,336.1982,0,336.5049
0,335.9844,0,335.7116,0,335.3907,0,335.0676,0,334.7444,0,334.4212,0,334.0981,0,333.775,0,333.7712,0,334.0939,0,334.4166,0,334.7394,0,335.0621,0,335.3848,0,335.7075,0,335.4804,0,335.9228,0,336.3653,0,336.808,0,337.2507,0,337.6935,0,338.1363,0,338.1175,0,337.4428,0,336.768,0,336.0932,0,335.4186,0,334.7443,0,334.0705,0,335.0061,0,335.3129,0,335.6198,0,335.9267,0,336.2335,0,336.5403,0,336.847
0,335.9844,0,335.5642,0,335.4388,0,335.12,0,334.7969,0,334.4737,0,334.1505,0,333.8274,0,333.5044,0,333.8198,0,334.1425,0,334.4653,0,334.788,0,335.1108,0,335.4335,0,334.9193,0,334.9788,0,335.4213,0,335.864,0,336.3069,0,336.7499,0,337.1931,0,337.2855,0,337.1561,0,336.4811,0,335.8061,0,335.1314,0,334.4571,0,333.7834,0,334.7369,0,335.655,0,335.9619,0,336.2688,0,336.5757,0,336.8825,0,337.1892
0,335.9844,0,335.4167,0,335.2913,0,335.1659,0,334.8493,0,334.5261,0,334.2029,0,333.8798,0,333.5567,0,333.5458,0,333.8684,0,334.1911,0,334.5139,0,334.8367,0,335.1595,0,334.6451,0,334.1302,0,334.4766,0,334.9192,0,335.362,0,335.8051,0,336.2484,0,336.3412,0,336.434,0,336.1939,0,335.5188,0,334.8441,0,334.1698,0,333.4963,0,334.4497,0,335.4038,0,336.3041,0,336.6111,0,336.9179,0,337.2247,0,337.5313
0,335.9844,0,335.2455,0,335.1438,0,335.0184,0,334.893,0,334.5786,0,334.2554,0,333.9322,0,333.6091,0,333.2861,0,333.5943,0,333.917,0,334.2398,0,334.5626,0,334.8854,0,334.3708,0,333.8558,0,333.532,0,333.974,0,334.4165,0,334.8594,0,335.3026,0,335.3959,0,335.4891,0,335.5822,0,335.2315,0,334.5567,0,333.8825,0,333.2091,0,334.1625,0,335.1167,0,336.0711,0,336.9534,0,337.2602,0,337.5669,0,337.8735
0,335.9844,0,335.0254,0,334.9962,0,334.8708,0,334.7454,0,334.62,0,334.3078,0,333.9846,0,333.6615,0,333.3384,0,333.3202,0,333.6429,0,333.9656,0,334.2884,0,334.6112,0,334.0965,0,333.5815,0,333.0661,0,333.0291,0,333.4711,0,333.9135,0,334.3563,0,334.45,0,334.5436,0,334.6371,0,334.7305,0,334.2692,0,333.5951,0,332.9219,0,333.8752,0,334.8294,0,335.784,0,336.7385,0,337.6025,0,337.9092,0,338.2157
0,335.9844,0,334.8051,0,334.8486,0,334.7232,0,334.5978,0,334.4724,0,334.347,0,334.037,0,333.7138,0,333.3907,0,333.0677,0,333.3688,0,333.6915,0,334.0142,0,334.337,0,333.8222,0,333.3071,0,332.7917,0,332.2762,0,332.5261,0,332.9678,0,333.41,0,333.504,0,333.5979,0,333.6918,0,333.7856,0,333.8793,0,333.3078,0,332.6348,0,333.5878,0,334.542,0,335.4967,0,336.4515,0,337.4059,0,338.2515,0,338.5579
0,335.9844,0,334.5846,0,334.701,0,334.5756,0,334.4502,0,334.3248,0,334.1994,0,334.074,0,333.7662,0,333.4431,0,333.12,0,333.0947,0,333.4174,0,333.7401,0,334.0629,0,333.548,0,333.0328,0,332.5174,0,332.002,0,331.5821,0,332.0228,0,332.4643,0,332.5585,0,332.6527,0,332.7469,0,332.8409,0,332.935,0,333.0204,0,332.3476,0,333.3005,0,334.2546,0,335.2094,0,336.1644,0,337.1191,0,338.073,0,338.9
0,335.9844,0,334.6791,0,334.5059,0,334.428,0,334.3026,0,334.1772,0,334.0518,0,333.9264,0,333.801,0,333.4955,0,333.1724,0,332.8494,0,333.1433,0,333.4659,0,333.7887,0,333.2737,0,332.7585,0,332.2432,0,331.7278,0,331.2124,0,331.0792,0,331.5196,0,331.614,0,331.7085,0,331.8028,0,331.8971,0,331.9914,0,332.0856,0,332.0606,0,333.0131,0,333.7787,0,334.466,0,335.1542,0,335.843,0,336.5324,0,337.222
0,335.9844,0,334.9407,0,334.2854,0,334.2803,0,334.1549,0,334.0295,0,333.9041,0,333.7788,0,333.6534,0,333.5281,0,333.2247,0,332.9017,0,332.8692,0,333.1918,0,333.5145,0,332.9995,0,332.4843,0,331.9691,0,331.4538,0,330.9385,0,330.4234,0,330.5764,0,330.671,0,330.7656,0,330.8602,0,330.9494,0,331.0093,0,331.0691,0,331.129,0,330.8946,0,331.5791,0,332.2653,0,332.9529,0,333.6419,0,334.332,0,335.023
0,335.9844,0,335.2021,0,334.0647,0,334.1327,0,334.0073,0,333.8819,0,333.7565,0,333.6311,0,333.5058,0,333.3804,0,333.2551,0,332.954,0,332.6311,0,332.9177,0,333.2404,0,332.7254,0,332.2102,0,331.695,0,331.1798,0,330.6647,0,330.1499,0,329.6352,0,329.6947,0,329.7542,0,329.8137,0,329.8732,0,329.9328,0,329.9924,0,330.0521,0,329.7384,0,329.4245,0,330.0609,0,330.746,0,331.4331,0,332.1219,0,332.8123
0,335.9844,0,335.4632,0,333.8439,0,333.985,0,333.8596,0,333.7342,0,333.6088,0,333.4835,0,333.3581,0,333.2328,0,333.1075,0,332.9822,0,332.6834,0,332.6437,0,332.9663,0,332.4513,0,331.9362,0,331.4211,0,330.906,0,330.3911,0,329.7723,0,329.1306,0,328.6698,0,328.6769,0,328.7361,0,328.7954,0,328.8547,0,328.914,0,328.9734,0,328.6593,0,328.3451,0,328.0309,0,328.54,0,329.2231,0,329.9086,0,330.5963
0,335.9844,0,335.4685,0,333.6229,0,333.7658,0,333.7119,0,333.5865,0,333.4612,0,333.3358,0,333.2105,0,333.0852,0,332.9598,0,332.8346,0,332.7093,0,332.4128,0,332.6922,0,332.1772,0,331.6622,0,331.1472,0,330.5513,0,329.9095,0,329.2676,0,328.6256,0,328.1645,0,327.703,0,327.6578,0,327.7167,0,327.7757,0,327.8347,0,327.8937,0,327.5795,0,327.2652,0,326.9509,0,326.6367,0,327.0185,0,327.6986,0,328.3815
0,335.9844,0,335.4685,0,333.4018,0,333.545,0,333.5643,0,333.4389,0,333.3135,0,333.1882,0,333.0628,0,332.9375,0,332.8122,0,332.687,0,332.5617,0,332.4365,0,332.4182,0,331.9033,0,331.3303,0,330.6887,0,330.0468,0,329.4046,0,328.7625,0,328.1204,0,327.659,0,327.1974,0,326.7356,0,326.638,0,326.6966,0,326.7552,0,326.8139,0,326.4997,0,326.1855,0,325.8714,0,325.5575,0,325.2436,0,325.4986,0,326.1747
