First line is descriptive text that is ignored by the preparation tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTheta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaTheta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumTheta,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstPhi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeltaPhi,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPhi,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,18700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarisation,RHCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriLensQR,440-0375-00288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LensNumber,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawAttenPhase,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,61.355,0,62.2267,0,63.0994,0,63.9727,0,64.8463,0,65.7196,0,66.5923,0,67.4641,0,67.9961,0,68.5283,0,69.0607,0,69.5931,0,70.1255,0,70.6577,0,71.1897,0,72.1452,0,73.1019,0,74.0595,0,75.0174,0,75.975,0,76.9318,0,77.8873,0,76.2306,0,74.567,0,72.8992,0,71.2299,0,69.5621,0,67.8985,0,66.2419,0,66.594,0,66.9461,0,67.2982,0,67.6504,0,68.0026,0,68.3547,0,68.7068
0,61.355,0,62.5369,0,63.4208,0,64.296,0,65.1712,0,66.0461,0,66.9202,0,67.7931,0,68.4973,0,69.0301,0,69.563,0,70.0958,0,70.6285,0,71.1609,0,71.693,0,73.2104,0,74.1708,0,75.1314,0,76.0917,0,77.0511,0,78.0092,0,78.9652,0,78.6748,0,77.0172,0,75.3514,0,73.6799,0,72.0057,0,70.3316,0,68.6605,0,68.3173,0,68.6708,0,69.0242,0,69.3774,0,69.7305,0,70.0835,0,70.4362
0,61.355,0,62.0262,0,63.7251,0,64.6205,0,65.4974,0,66.3737,0,67.2492,0,68.1233,0,68.9957,0,69.5328,0,70.066,0,70.5992,0,71.1321,0,71.6647,0,72.1969,0,73.9588,0,75.2461,0,76.2091,0,77.1712,0,78.1317,0,79.0903,0,80.0463,0,79.985,0,79.4647,0,77.8069,0,76.1394,0,74.465,0,72.7864,0,71.1066,0,70.7359,0,70.407,0,70.761,0,71.1147,0,71.4681,0,71.8212,0,72.1739
0,61.355,0,61.5165,0,63.212,0,64.9185,0,65.8247,0,66.7026,0,67.5793,0,68.4546,0,69.3279,0,70.0363,0,70.5698,0,71.1032,0,71.6363,0,72.1689,0,72.7011,0,74.4658,0,76.2451,0,77.2919,0,78.255,0,79.216,0,80.1744,0,81.1297,0,81.0678,0,81.006,0,80.2568,0,78.5994,0,76.9309,0,75.2541,0,73.5718,0,73.1946,0,72.819,0,72.5056,0,72.859,0,73.2121,0,73.5647,0,73.9168
0,61.355,0,61.2113,0,62.6998,0,64.4035,0,66.1161,0,67.0325,0,67.9105,0,68.7868,0,69.6611,0,70.533,0,71.0743,0,71.6078,0,72.1409,0,72.6735,0,73.2056,0,74.9728,0,76.7536,0,78.3789,0,79.3425,0,80.3033,0,81.2608,0,82.2146,0,82.1522,0,82.0898,0,82.0275,0,81.0508,0,79.3944,0,77.7255,0,76.047,0,75.6648,0,75.2839,0,74.9043,0,74.6073,0,74.9593,0,75.3108,0,75.6617
0,61.355,0,61.3257,0,62.1885,0,63.8892,0,65.5997,0,67.317,0,68.2428,0,69.1202,0,69.9953,0,70.8678,0,71.5793,0,72.1128,0,72.6459,0,73.1785,0,73.7103,0,75.4797,0,77.2618,0,79.0534,0,80.4328,0,81.3927,0,82.3487,0,83.3004,0,83.2374,0,83.1745,0,83.1117,0,83.0489,0,81.8464,0,80.1916,0,78.523,0,78.1371,0,77.7524,0,77.3688,0,76.9863,0,76.7066,0,77.0563,0,77.4052
0,61.355,0,61.4402,0,61.6783,0,63.3756,0,65.0837,0,66.7995,0,68.52,0,69.4545,0,70.3304,0,71.2036,0,72.0736,0,72.6183,0,73.1513,0,73.6836,0,74.2152,0,75.9865,0,77.7696,0,79.5611,0,81.3576,0,82.4834,0,83.4372,0,84.3861,0,84.3227,0,84.2593,0,84.196,0,84.1328,0,84.0696,0,82.6432,0,80.9907,0,80.6026,0,80.2154,0,79.8291,0,79.4438,0,79.0595,0,78.7978,0,79.1442
0,61.355,0,61.5548,0,61.1691,0,62.8629,0,64.5683,0,66.2823,0,68.0019,0,69.7241,0,70.6665,0,71.5402,0,72.4106,0,73.1241,0,73.6569,0,74.189,0,74.7202,0,76.4932,0,78.277,0,80.0682,0,81.8633,0,83.5748,0,84.5257,0,85.471,0,85.4072,0,85.3434,0,85.2797,0,85.2161,0,85.1525,0,85.0716,0,83.441,0,83.0521,0,82.6639,0,82.2764,0,81.8897,0,81.5037,0,81.1186,0,80.8756
0,61.355,0,61.5125,0,61.0675,0,62.3511,0,64.0535,0,65.7655,0,67.484,0,69.2059,0,70.9283,0,71.8777,0,72.7485,0,73.6154,0,74.1627,0,74.6944,0,75.2251,0,76.9995,0,78.7837,0,80.5743,0,82.3679,0,84.161,0,85.6132,0,86.5544,0,86.4902,0,86.4261,0,86.362,0,86.298,0,86.234,0,86.17,0,85.8652,0,85.477,0,85.1213,0,84.7786,0,84.4353,0,84.0913,0,83.7466,0,83.4014
0,61.355,0,61.3871,0,61.182,0,61.8403,0,63.5395,0,65.2491,0,66.9662,0,68.6877,0,70.4104,0,72.1314,0,73.0871,0,73.9541,0,74.6685,0,75.1998,0,75.73,0,77.5055,0,79.2898,0,81.0796,0,82.8713,0,84.6615,0,86.4467,0,87.6355,0,87.571,0,87.5065,0,87.4421,0,87.3332,0,86.9718,0,86.6105,0,86.2493,0,88.212,0,87.872,0,87.531,0,87.1892,0,86.8466,0,86.5031,0,86.1588
0,61.355,0,61.2616,0,61.2965,0,61.3306,0,63.0263,0,64.7333,0,66.4487,0,68.1693,0,69.8923,0,71.6144,0,73.3325,0,74.2935,0,75.1561,0,75.7051,0,76.2347,0,78.011,0,79.7952,0,81.5839,0,83.3735,0,85.1606,0,86.9417,0,88.7135,0,88.3522,0,87.9909,0,87.6295,0,87.2682,0,86.9068,0,86.5455,0,86.1842,0,88.3448,0,90.5201,0,90.3004,0,89.9617,0,89.6221,0,89.2814,0,88.9397
0,61.355,0,61.1362,0,61.411,0,60.822,0,62.514,0,64.2181,0,65.9315,0,67.6511,0,69.3739,0,71.0968,0,72.8167,0,74.5304,0,75.496,0,76.2102,0,76.7392,0,78.5161,0,80.2998,0,82.087,0,83.8743,0,85.658,0,87.0057,0,88.2547,0,88.2514,0,87.9259,0,87.5645,0,87.2031,0,86.8418,0,86.4805,0,86.1192,0,88.2795,0,90.4549,0,92.639,0,92.7399,0,92.4049,0,92.0686,0,91.7312
0,61.355,0,61.1336,0,61.5255,0,60.9238,0,62.0026,0,63.7036,0,65.4147,0,67.133,0,68.8554,0,70.5789,0,72.3002,0,74.0163,0,75.7241,0,76.6935,0,77.2433,0,79.0205,0,80.8035,0,82.5891,0,84.0363,0,85.2921,0,86.5457,0,87.7957,0,87.7925,0,87.7893,0,87.4995,0,87.1381,0,86.7767,0,86.4154,0,86.0542,0,88.2143,0,90.3896,0,92.5739,0,94.7609,0,95.1818,0,94.8516,0,94.5199
0,61.355,0,61.1336,0,61.6401,0,61.0383,0,61.4923,0,63.1899,0,64.8985,0,66.6152,0,68.3369,0,70.0606,0,71.7831,0,73.5013,0,75.2122,0,76.9127,0,77.7471,0,79.5242,0,81.0634,0,82.3194,0,83.576,0,84.8318,0,86.0857,0,87.3365,0,87.3333,0,87.3302,0,87.327,0,87.0731,0,86.7117,0,86.3504,0,85.9892,0,88.149,0,90.3243,0,92.5087,0,94.6961,0,96.8801,0,97.6173,0,97.293
