Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-20865,,QR420-0345-20532,,,MISSING,0,,
QR420-0345-20779,,QR420-0345-20819,,,MISSING,0,,
QR420-0345-20970,,QR420-0345-20759,,,MISSING,0,,
QR420-0345-21339,,QR420-0345-20263,,,MISSING,0,,
QR420-0345-20487,,QR420-0345-20736,,,MISSING,0,,
QR420-0345-20710,,QR420-0345-20343,,,MISSING,0,,
QR420-0345-20264,,QR420-0345-20796,,,MISSING,0,,
QR420-0345-20852,,QR420-0345-20988,,,MISSING,0,,
QR420-0345-20830,,QR420-0345-20721,,,MISSING,0,,
QR420-0345-20188,,QR420-0345-20469,,,MISSING,0,,
QR420-0345-20836,,QR420-0345-20594,,,MISSING,0,,
QR420-0345-20396,,QR420-0345-21035,,,MISSING,0,,
QR420-0345-00456,,QR420-0461-20001,,,MISSING,0,,
QR420-0345-20420,,QR420-0345-20905,,,MISSING,0,,
QR420-0345-20525,,QR420-0345-20377,,,MISSING,0,,
QR420-0345-20522,,QR420-0345-20832,,,MISSING,0,,
QR420-0345-20225,,QR420-0345-20162,,,MISSING,0,,
QR420-0345-20164,,QR420-0345-20521,,,MISSING,0,,
QR420-0345-00851,,QR420-0345-20742,,,MISSING,0,,
QR420-0345-20007,,QR420-0345-20227,,,MISSING,0,,
QR420-0345-20883,,QR420-0345-20520,,,MISSING,0,,
QR420-0345-20928,,QR420-0345-21222,,,MISSING,0,,
QR420-0345-20908,,QR420-0345-20406,,,MISSING,0,,
QR420-0345-20846,,QR420-0345-20779,,,MISSING,0,,
QR420-0345-20190,,QR420-0345-20518,,,MISSING,0,,
QR420-0345-20614,,QR420-0345-20830,,,MISSING,0,,
QR420-0345-20983,,QR420-0345-20836,,,MISSING,0,,
QR420-0345-20498,,QR420-0345-00745,,,MISSING,0,,
QR420-0345-20373,,QR420-0345-20487,,,MISSING,0,,
QR420-0345-20361,,QR420-0345-20865,,,MISSING,0,,
QR420-0345-20761,,QR420-0345-20970,,,MISSING,0,,
QR420-0345-20603,,QR420-0345-20426,,,MISSING,0,,
QR420-0345-21092,,QR420-0345-20852,,,MISSING,0,,
QR420-0345-21058,,QR420-0345-20188,,,MISSING,0,,
QR420-0345-20941,,QR420-0345-20396,,,MISSING,0,,
QR420-0345-20489,,QR420-0345-00895,,,MISSING,0,,
QR420-0345-00895,,QR420-0345-20710,,,MISSING,0,,
QR420-0345-20226,,QR420-0345-20221,,,MISSING,0,,
QR420-0345-20509,,QR420-0345-20525,,,MISSING,0,,
QR420-0345-21085,,QR420-0345-20928,,,MISSING,0,,
QR420-0345-20992,,QR420-0345-20225,,,MISSING,0,,
QR420-0345-00539,,QR420-0345-00851,,,MISSING,0,,
QR420-0345-20419,,QR420-0345-20164,,,MISSING,0,,
QR420-0345-20658,,QR420-0345-20264,,,MISSING,0,,
QR420-0345-21283,,QR420-0345-20883,,,MISSING,0,,
QR420-0345-20093,,QR420-0345-21322,,,MISSING,0,,
QR420-0345-20828,,QR420-0345-20908,,,MISSING,0,,
QR420-0345-20477,,QR420-0345-21092,,,MISSING,0,,
QR420-0345-20811,,QR420-0345-20614,,,MISSING,0,,
QR420-0345-20479,,QR420-0345-20498,,,MISSING,0,,
QR420-0345-20277,,QR420-0345-20522,,,MISSING,0,,
QR420-0345-20551,,QR420-0345-20983,,,MISSING,0,,
QR420-0345-20784,,QR420-0345-20007,,,MISSING,0,,
QR420-0345-20310,,QR420-0345-20485,,,MISSING,0,,
QR420-0345-20767,,QR420-0345-20941,,,MISSING,0,,
QR420-0345-20663,,QR420-0345-20093,,,MISSING,0,,
QR420-0345-20723,,QR420-0345-20992,,,MISSING,0,,
QR420-0345-20256,,QR420-0345-21085,,,MISSING,0,,
QR420-0345-20807,,QR420-0345-20393,,,MISSING,0,,
QR420-0345-20793,,QR420-0345-21283,,,MISSING,0,,
QR420-0345-20458,,QR420-0345-20373,,,MISSING,0,,
QR420-0345-21003,,QR420-0345-20509,,,MISSING,0,,
QR420-0345-20573,,QR420-0345-00539,,,MISSING,0,,
QR420-0345-20545,,QR420-0345-20361,,,MISSING,0,,
QR420-0345-20070,,QR420-0345-20190,,,MISSING,0,,
QR420-0345-20802,,QR420-0345-20784,,,MISSING,0,,
QR420-0345-20632,,QR420-0345-21058,,,MISSING,0,,
QR420-0345-20152,,QR420-0345-20807,,,MISSING,0,,
QR420-0345-00380,,QR420-0345-20846,,,MISSING,0,,
QR420-0345-20763,,QR420-0345-20663,,,MISSING,0,,
QR420-0345-20760,,QR420-0345-20658,,,MISSING,0,,
QR420-0345-20087,,QR420-0345-20761,,,MISSING,0,,
QR420-0345-20572,,QR420-0345-20811,,,MISSING,0,,
QR420-0345-20330,,QR420-0345-20489,,,MISSING,0,,
QR420-0345-20500,,QR420-0345-20419,,,MISSING,0,,
QR420-0345-20415,,QR420-0345-20603,,,MISSING,0,,
QR420-0345-20997,,QR420-0345-21003,,,MISSING,0,,
QR420-0345-20774,,QR420-0345-20121,,,MISSING,0,,
QR420-0345-20365,,QR420-0345-20070,,,MISSING,0,,
QR420-0345-20425,,QR420-0345-21235,,,MISSING,0,,
QR420-0345-20318,,QR420-0345-20801,,,MISSING,0,,
QR420-0345-20464,,QR420-0345-20551,,,MISSING,0,,
QR420-0345-20145,,QR420-0345-20802,,,MISSING,0,,
QR420-0345-20863,,QR420-0345-20573,,,MISSING,0,,
QR420-0345-20495,,QR420-0345-20981,,,MISSING,0,,
QR420-0345-20834,,QR420-0345-20767,,,MISSING,0,,
QR420-0345-20664,,QR420-0345-20545,,,MISSING,0,,
QR420-0345-20706,,QR420-0345-20277,,,MISSING,0,,
QR420-0345-20655,,QR420-0345-20793,,,MISSING,0,,
QR420-0345-20114,,QR420-0345-20760,,,MISSING,0,,
QR420-0345-20410,,QR420-0345-20256,,,MISSING,0,,
QR420-0345-20038,,QR420-0345-20479,,,MISSING,0,,
QR420-0345-20327,,QR420-0345-20991,,,MISSING,0,,
QR420-0345-20977,,QR420-0345-20430,,,MISSING,0,,
QR420-0345-20980,,QR420-0345-20216,,,MISSING,0,,
QR420-0345-20030,,QR420-0461-20029,,,MISSING,0,,
QR420-0345-20468,,QR420-0461-20108,,,MISSING,0,,
QR420-0345-20966,,QR420-0345-20878,,,MISSING,0,,
QR420-0345-21294,,QR420-0345-20152,,,MISSING,0,,
QR420-0345-21353,,QR420-0345-20500,,,MISSING,0,,
QR420-0345-20215,,QR420-0345-20632,,,MISSING,0,,
QR420-0345-20546,,QR420-0345-20365,,,MISSING,0,,
QR420-0345-20214,,QR420-0345-20415,,,MISSING,0,,
QR420-0345-20493,,QR420-0345-20366,,,MISSING,0,,
QR420-0345-20508,,QR420-0345-20425,,,MISSING,0,,
QR420-0345-20861,,QR420-0345-20087,,,MISSING,0,,
QR420-0345-20809,,QR420-0345-20572,,,MISSING,0,,
QR420-0345-20558,,QR420-0345-20980,,,MISSING,0,,
QR420-0345-20985,,QR420-0345-20655,,,MISSING,0,,
QR420-0345-20189,,QR420-0345-20029,,,MISSING,0,,
QR420-0345-20355,,QR420-0345-20977,,,MISSING,0,,
QR420-0345-00445,,QR420-0345-20813,,,MISSING,0,,
QR420-0345-20636,,QR420-0345-20464,,,MISSING,0,,
QR420-0345-20092,,QR420-0345-20706,,,MISSING,0,,
QR420-0345-20252,,QR420-0345-20966,,,MISSING,0,,
QR420-0345-21218,,QR420-0345-20495,,,MISSING,0,,
QR420-0461-20068,,QR420-0345-20410,,,MISSING,0,,
QR420-0461-20123,,QR420-0345-20214,,,MISSING,0,,
QR420-0345-20783,,QR420-0345-20083,,,MISSING,0,,
QR420-0345-20714,,QR420-0345-21353,,,MISSING,0,,
QR420-0461-20078,,QR420-0461-20107,,,MISSING,0,,
QR420-0345-20110,,QR420-0345-20493,,,MISSING,0,,
QR420-0345-20773,,QR420-0345-20327,,,MISSING,0,,
QR420-0345-20440,,QR420-0345-20468,,,MISSING,0,,
QR420-0345-20591,,QR420-0345-20092,,,MISSING,0,,
QR420-0345-20100,,QR420-0345-20189,,,MISSING,0,,
QR420-0345-20712,,QR420-0345-21294,,,MISSING,0,,
QR420-0345-21000,,QR420-0345-20675,,,MISSING,0,,
QR420-0345-20261,,QR420-0345-20985,,,MISSING,0,,
QR420-0345-20715,,QR420-0345-00462,,,MISSING,0,,
QR420-0345-20919,,QR420-0345-20546,,,MISSING,0,,
QR420-0345-20270,,QR420-0345-20215,,,MISSING,0,,
QR420-0345-20342,,QR420-0345-20558,,,MISSING,0,,
QR420-0345-20667,,QR420-0345-20636,,,MISSING,0,,
QR420-0345-21228,,QR420-0345-21218,,,MISSING,0,,
QR420-0345-20853,,QR420-0345-20508,,,MISSING,0,,
QR420-0345-20519,,QR420-0345-20860,,,MISSING,0,,
QR420-0345-21070,,QR420-0345-00445,,,MISSING,0,,
QR420-0345-20596,,QR420-0345-20783,,,MISSING,0,,
QR420-0345-21359,,QR420-0345-20355,,,MISSING,0,,
QR420-0345-20288,,QR420-0345-20252,,,MISSING,0,,
QR420-0345-20867,,QR420-0345-20806,,,MISSING,0,,
QR420-0345-20521,,QR420-0345-00494,,,MISSING,0,,
QR420-0345-20847,,QR420-0345-20714,,,MISSING,0,,
QR420-0345-20490,,QR420-0345-20591,,,MISSING,0,,
QR420-0345-20879,,QR420-0461-20109,,,MISSING,0,,
QR420-0345-20467,,QR420-0345-20440,,,MISSING,0,,
QR420-0345-20488,,QR420-0345-20110,,,MISSING,0,,
QR420-0345-20965,,QR420-0345-20634,,,MISSING,0,,
QR420-0345-21094,,QR420-0345-20773,,,MISSING,0,,
QR420-0345-20582,,QR420-0345-20973,,,MISSING,0,,
QR420-0345-21210,,QR420-0345-20667,,,MISSING,0,,
QR420-0345-20548,,QR420-0345-21392,,,MISSING,0,,
QR420-0345-21002,,QR420-0345-20712,,,MISSING,0,,
QR420-0345-20042,,QR420-0345-21228,,,MISSING,0,,
QR420-0345-20341,,QR420-0345-20261,,,MISSING,0,,
QR420-0345-20769,,QR420-0345-20715,,,MISSING,0,,
QR420-0345-20204,,QR420-0345-20342,,,MISSING,0,,
QR420-0345-20106,,QR420-0345-00870,,,MISSING,0,,
QR420-0345-20260,,QR420-0345-20519,,,MISSING,0,,
QR420-0345-20631,,QR420-0345-21070,,,MISSING,0,,
QR420-0345-20116,,QR420-0345-20596,,,MISSING,0,,
QR420-0345-20926,,QR420-0345-21359,,,MISSING,0,,
QR420-0345-20898,,QR420-0345-20288,,,MISSING,0,,
QR420-0345-20448,,QR420-0345-20867,,,MISSING,0,,
QR420-0345-20158,,QR420-0345-20258,,,MISSING,0,,
QR420-0345-20735,,QR420-0345-20847,,,MISSING,0,,
QR420-0345-20990,,QR420-0345-20946,,,MISSING,0,,
QR420-0345-20098,,QR420-0345-20965,,,MISSING,0,,
QR420-0345-20337,,QR420-0345-20490,,,MISSING,0,,
QR420-0345-20748,,QR420-0345-21094,,,MISSING,0,,
QR420-0345-20935,,QR420-0345-20488,,,MISSING,0,,
QR420-0345-20922,,QR420-0345-20210,,,MISSING,0,,
QR420-0345-20512,,QR420-0345-20879,,,MISSING,0,,
QR420-0345-20143,,QR420-0461-20119,,,MISSING,0,,
QR420-0345-20121,,QR420-0345-20582,,,MISSING,0,,
QR420-0345-20801,,QR420-0345-20467,,,MISSING,0,,
QR420-0345-20873,,QR420-0345-21210,,,MISSING,0,,
QR420-0345-20275,,QR420-0345-20204,,,MISSING,0,,
QR420-0345-20089,,QR420-0345-20815,,,MISSING,0,,
QR420-0345-20607,,QR420-0345-20548,,,MISSING,0,,
QR420-0345-20266,,QR420-0345-21002,,,MISSING,0,,
QR420-0345-20460,,QR420-0345-20898,,,MISSING,0,,
QR420-0345-20430,,QR420-0345-20042,,,MISSING,0,,
QR420-0345-20399,,QR420-0345-20116,,,MISSING,0,,
QR420-0345-20981,,QR420-0345-20990,,,MISSING,0,,
QR420-0345-20651,,QR420-0345-20735,,,MISSING,0,,
QR420-0345-20947,,QR420-0345-20828,,,MISSING,0,,
QR420-0345-00448,,QR420-0345-20129,,,MISSING,0,,
QR420-0345-20537,,QR420-0345-20098,,,MISSING,0,,
QR420-0345-20334,,QR420-0345-20512,,,MISSING,0,,
QR420-0345-20169,,QR420-0345-20352,,,MISSING,0,,
QR420-0345-20613,,QR420-0345-20873,,,MISSING,0,,
QR420-0345-20079,,QR420-0461-20069,,,MISSING,0,,
QR420-0345-20813,,QR420-0345-20310,,,MISSING,0,,
QR420-0345-20758,,QR420-0345-20273,,,MISSING,0,,
QR420-0345-20174,,QR420-0345-20926,,,MISSING,0,,
QR420-0345-20135,,QR420-0345-20458,,,MISSING,0,,
QR420-0345-20542,,QR420-0345-20275,,,MISSING,0,,
QR420-0345-20185,,QR420-0345-20341,,,MISSING,0,,
QR420-0345-20719,,QR420-0345-20448,,,MISSING,0,,
QR420-0345-20609,,QR420-0345-20748,,,MISSING,0,,
QR420-0345-21203,,QR420-0345-20935,,,MISSING,0,,
QR420-0345-20925,,QR420-0345-20158,,,MISSING,0,,
QR420-0345-20587,,QR420-0345-20669,,,MISSING,0,,
QR420-0345-20218,,QR420-0345-20922,,,MISSING,0,,
QR420-0345-20383,,QR420-0345-20947,,,MISSING,0,,
QR420-0345-20675,,QR420-0345-20769,,,MISSING,0,,
QR420-0345-20781,,QR420-0345-20863,,,MISSING,0,,
QR420-0345-00850,,QR420-0345-20337,,,MISSING,0,,
QR420-0345-20516,,QR420-0345-20399,,,MISSING,0,,
QR420-0345-20492,,QR420-0345-20330,,,MISSING,0,,
QR420-0345-20323,,QR420-0345-20607,,,MISSING,0,,
QR420-0345-00626,,QR420-0345-00380,,,MISSING,0,,
QR420-0345-20510,,QR420-0345-20089,,,MISSING,0,,
QR420-0345-20040,,QR420-0345-20169,,,MISSING,0,,
QR420-0345-20860,,QR420-0345-20997,,,MISSING,0,,
QR420-0345-21004,,QR420-0345-20174,,,MISSING,0,,
QR420-0345-21234,,QR420-0461-20063,,,MISSING,0,,
QR420-0345-20130,,QR420-0345-20613,,,MISSING,0,,
QR420-0345-20107,,QR420-0345-20334,,,MISSING,0,,
QR420-0345-20008,,QR420-0345-20079,,,MISSING,0,,
QR420-0345-20088,,QR420-0345-20774,,,MISSING,0,,
QR420-0345-20379,,QR420-0345-20038,,,MISSING,0,,
QR420-0461-20001,,QR420-0345-20318,,,MISSING,0,,
QR420-0345-20634,,QR420-0345-20989,,,MISSING,0,,
QR420-0345-20806,,QR420-0345-20185,,,MISSING,0,,
QR420-0345-20338,,QR420-0345-20114,,,MISSING,0,,
QR420-0345-20716,,QR420-0345-20609,,,MISSING,0,,
QR420-0345-20494,,QR420-0345-21203,,,MISSING,0,,
QR420-0345-20671,,QR420-0461-20122,,,MISSING,0,,
QR420-0345-20903,,QR420-0345-20781,,,MISSING,0,,
QR420-0345-20283,,QR420-0345-20142,,,MISSING,0,,
QR420-0345-20339,,QR420-0345-20809,,,MISSING,0,,
QR420-0345-20282,,QR420-0345-20587,,,MISSING,0,,
QR420-0345-20973,,QR420-0345-20542,,,MISSING,0,,
QR420-0345-21392,,QR420-0345-20135,,,MISSING,0,,
QR420-0345-21319,,QR420-0345-20800,,,MISSING,0,,
QR420-0345-21042,,QR420-0345-20030,,,MISSING,0,,
QR420-0345-20276,,QR420-0345-20925,,,MISSING,0,,
QR420-0345-00870,,QR420-0345-20491,,,MISSING,0,,
QR420-0345-20475,,QR420-0345-20323,,,MISSING,0,,
QR420-0345-20792,,QR420-0345-20719,,,MISSING,0,,
QR420-0345-20003,,QR420-0461-20044,,,MISSING,0,,
QR420-0345-00644,,QR420-0345-20384,,,MISSING,0,,
QR420-0345-20730,,QR420-0345-20218,,,MISSING,0,,
QR420-0345-20326,,QR420-0345-20383,,,MISSING,0,,
QR420-0345-00598,,QR420-0345-21234,,,MISSING,0,,
QR420-0345-20998,,QR420-0345-20510,,,MISSING,0,,
QR420-0345-20405,,QR420-0345-20676,,,MISSING,0,,
QR420-0345-20643,,QR420-0461-20092,,,MISSING,0,,
QR420-0345-20139,,QR420-0345-20348,,,MISSING,0,,
QR420-0345-20314,,QR420-0345-20040,,,MISSING,0,,
QR420-0345-20946,,QR420-0345-21004,,,MISSING,0,,
QR420-0345-20474,,QR420-0345-20338,,,MISSING,0,,
QR420-0345-20481,,QR420-0345-00626,,,MISSING,0,,
QR420-0345-20210,,QR420-0345-20492,,,MISSING,0,,
QR440-0436-20143,,QR420-0345-20516,,,MISSING,0,,
QR420-0345-20660,,QR420-0345-21362,,,MISSING,0,,
QR420-0345-20688,,QR420-0461-20078,,,MISSING,0,,
QR420-0345-20932,,QR420-0345-20379,,,MISSING,0,,
QR420-0345-20815,,QR420-0345-20107,,,MISSING,0,,
QR420-0345-20133,,QR420-0345-20008,,,MISSING,0,,
QR420-0345-20538,,QR420-0345-20130,,,MISSING,0,,
QR420-0345-20931,,QR420-0345-00894,,,MISSING,0,,
QR420-0345-21240,,QR420-0345-21267,,,MISSING,0,,
QR420-0345-20433,,QR420-0461-20003,,,MISSING,0,,
QR420-0345-00447,,QR420-0345-20903,,,MISSING,0,,
QR420-0345-20378,,QR420-0345-20716,,,MISSING,0,,
QR420-0345-21251,,QR420-0345-20282,,,MISSING,0,,
QR420-0345-20896,,QR420-0345-20494,,,MISSING,0,,
QR420-0345-20821,,QR420-0345-21319,,,MISSING,0,,
QR420-0461-20076,,QR420-0461-20076,,,MISSING,0,,
QR420-0345-20563,,QR420-0461-20099,,,MISSING,0,,
QR420-0345-20622,,QR420-0345-20283,,,MISSING,0,,
QR420-0345-00451,,QR420-0345-20339,,,MISSING,0,,
QR420-0345-20022,,QR420-0345-21065,,,MISSING,0,,
QR420-0345-20417,,QR420-0345-20270,,,MISSING,0,,
QR420-0345-20989,,QR420-0345-20635,,,MISSING,0,,
QR420-0345-00896,,QR420-0345-21042,,,MISSING,0,,
QR420-0345-20279,,QR420-0345-20792,,,MISSING,0,,
QR420-0345-20287,,QR420-0345-20950,,,MISSING,0,,
QR420-0345-20186,,QR420-0345-20003,,,MISSING,0,,
QR420-0345-20384,,QR420-0461-20045,,,MISSING,0,,
QR420-0345-20803,,QR420-0461-20043,,,MISSING,0,,
QR420-0345-20363,,QR420-0345-20090,,,MISSING,0,,
QR420-0461-20103,,QR420-0345-20853,,,MISSING,0,,
QR420-0345-20491,,QR420-0345-20139,,,MISSING,0,,
QR420-0345-20574,,QR420-0345-20643,,,MISSING,0,,
QR420-0345-00462,,QR420-0345-20405,,,MISSING,0,,
QR420-0345-21209,,QR420-0345-20314,,,MISSING,0,,
QR420-0345-20286,,QR420-0345-20474,,,MISSING,0,,
QR420-0345-20733,,QR420-0345-20481,,,MISSING,0,,
QR420-0345-00461,,QR440-0436-20143,,,MISSING,0,,
QR420-0345-20800,,QR420-0345-20688,,,MISSING,0,,
QR420-0345-20175,,QR420-0345-20701,,,MISSING,0,,
QR420-0345-20795,,QR420-0345-20843,,,MISSING,0,,
QR420-0461-20037,,QR420-0345-20660,,,MISSING,0,,
QR420-0345-20892,,QR420-0345-20932,,,MISSING,0,,
QR420-0345-20024,,QR420-0345-20538,,,MISSING,0,,
QR420-0345-20161,,QR420-0345-20133,,,MISSING,0,,
QR420-0345-21062,,QR420-0345-21240,,,MISSING,0,,
QR420-0345-20501,,QR420-0345-20896,,,MISSING,0,,
QR420-0345-20348,,QR420-0345-20378,,,MISSING,0,,
QR420-0345-20148,,QR420-0345-20260,,,MISSING,0,,
QR420-0345-20708,,QR420-0345-20631,,,MISSING,0,,
QR420-0345-20639,,QR420-0345-20433,,,MISSING,0,,
QR420-0345-20144,,QR420-0345-20460,,,MISSING,0,,
QR420-0345-21362,,QR420-0345-21251,,,MISSING,0,,
QR420-0345-21093,,QR420-0345-20143,,,MISSING,0,,
QR420-0345-20400,,QR420-0345-00447,,,MISSING,0,,
QR420-0345-20200,,QR420-0461-20004,,,MISSING,0,,
QR420-0345-20308,,QR420-0345-20821,,,MISSING,0,,
QR420-0345-20202,,QR420-0345-20563,,,MISSING,0,,
QR420-0345-20091,,QR420-0345-20417,,,MISSING,0,,
QR420-0345-20893,,QR420-0345-20266,,,MISSING,0,,
QR420-0345-20912,,QR420-0345-00448,,,MISSING,0,,
QR420-0345-20523,,QR420-0345-00451,,,MISSING,0,,
QR420-0345-20527,,QR420-0345-20678,,,MISSING,0,,
QR420-0345-00855,,QR420-0345-20145,,,MISSING,0,,
QR420-0345-00894,,QR420-0345-20622,,,MISSING,0,,
QR420-0345-20124,,QR420-0345-20758,,,MISSING,0,,
QR420-0461-20036,,QR420-0345-20537,,,MISSING,0,,
QR420-0345-21265,,QR420-0345-20279,,,MISSING,0,,
QR420-0345-21267,,QR420-0345-20022,,,MISSING,0,,
QR420-0345-20967,,QR420-0345-20751,,,MISSING,0,,
QR420-0345-21065,,QR420-0345-20803,,,MISSING,0,,
QR420-0345-20877,,QR420-0345-21209,,,MISSING,0,,
QR420-0345-20673,,QR420-0345-20637,,,MISSING,0,,
QR420-0345-20549,,QR420-0345-20287,,,MISSING,0,,
QR420-0345-20090,,QR420-0345-20186,,,MISSING,0,,
QR420-0345-20295,,QR420-0345-20363,,,MISSING,0,,
QR420-0345-20823,,QR420-0345-00461,,,MISSING,0,,
QR420-0345-20183,,QR420-0345-20892,,,MISSING,0,,
QR420-0345-20851,,QR420-0461-20093,,,MISSING,0,,
QR420-0345-20971,,QR420-0345-20286,,,MISSING,0,,
QR420-0345-20201,,QR420-0345-20175,,,MISSING,0,,
QR420-0345-20486,,QR420-0345-20795,,,MISSING,0,,
QR420-0345-20552,,QR420-0461-20020,,,MISSING,0,,
QR420-0345-20701,,QR420-0345-20733,,,MISSING,0,,
QR420-0345-21322,,QR420-0345-20024,,,MISSING,0,,
QR420-0345-20843,,QR420-0345-00850,,,MISSING,0,,
QR420-0345-21334,,QR420-0345-20160,,,MISSING,0,,
QR420-0345-20682,,QR420-0345-21062,,,MISSING,0,,
QR420-0345-20841,,QR420-0345-21093,,,MISSING,0,,
QR420-0345-20791,,QR420-0345-20708,,,MISSING,0,,
QR420-0345-20273,,QR420-0345-20581,,,MISSING,0,,
QR420-0345-20082,,QR420-0345-20144,,,MISSING,0,,
QR420-0345-20354,,QR420-0461-20115,,,MISSING,0,,
QR420-0345-20195,,QR420-0461-20114,,,MISSING,0,,
QR420-0345-20672,,QR420-0345-20161,,,MISSING,0,,
QR420-0345-20984,,QR420-0345-20501,,,MISSING,0,,
QR420-0345-20645,,QR420-0345-20202,,,MISSING,0,,
QR420-0345-20669,,QR420-0345-20895,,,MISSING,0,,
QR420-0345-20987,,QR420-0345-20875,,,MISSING,0,,
QR420-0345-21086,,QR420-0345-20912,,,MISSING,0,,
QR420-0345-20696,,QR420-0345-20091,,,MISSING,0,,
QR420-0345-20234,,QR420-0345-21193,,,MISSING,0,,
QR420-0345-20029,,QR420-0345-20088,,,MISSING,0,,
QR420-0345-20476,,QR420-0345-20400,,,MISSING,0,,
QR420-0345-20665,,QR420-0461-20112,,,MISSING,0,,
QR420-0345-20637,,QR420-0345-20308,,,MISSING,0,,
QR420-0345-20678,,QR420-0345-20535,,,MISSING,0,,
QR420-0345-20835,,QR420-0345-20780,,,MISSING,0,,
QR420-0345-20539,,QR420-0345-21265,,,MISSING,0,,
QR420-0345-20382,,QR420-0345-20523,,,MISSING,0,,
QR420-0345-20321,,QR420-0461-20011,,,MISSING,0,,
QR420-0345-20238,,QR420-0345-20124,,,MISSING,0,,
QR420-0345-20953,,QR420-0345-00855,,,MISSING,0,,
QR420-0345-20751,,QR420-0345-20673,,,MISSING,0,,
QR420-0345-21073,,QR420-0345-21372,,,MISSING,0,,
QR420-0345-20703,,QR420-0345-20103,,,MISSING,0,,
QR420-0345-20471,,QR420-0461-20125,,,MISSING,0,,
QR420-0345-21063,,QR420-0345-20967,,,MISSING,0,,
QR420-0345-20438,,QR420-0461-20098,,,MISSING,0,,
QR420-0345-20611,,QR420-0345-20877,,,MISSING,0,,
QR420-0345-20325,,QR420-0461-20128,,,MISSING,0,,
QR420-0345-20676,,QR420-0345-20276,,,MISSING,0,,
QR420-0345-20731,,QR420-0345-20475,,,MISSING,0,,
QR420-0461-20115,,QR420-0345-20549,,,MISSING,0,,
QR420-0345-20895,,QR420-0345-00644,,,MISSING,0,,
QR420-0461-20064,,QR420-0345-20730,,,MISSING,0,,
QR420-0345-20581,,QR420-0345-20295,,,MISSING,0,,
QR420-0345-21067,,QR420-0345-20998,,,MISSING,0,,
QR420-0461-20014,,QR420-0345-20183,,,MISSING,0,,
QR420-0345-20875,,QR420-0345-20851,,,MISSING,0,,
QR420-0345-20535,,QR420-0345-20909,,,MISSING,0,,
QR420-0345-21072,,QR420-0345-20201,,,MISSING,0,,
QR420-0345-21193,,QR420-0345-20486,,,MISSING,0,,
QR420-0345-20408,,QR420-0345-21334,,,MISSING,0,,
QR420-0345-20780,,QR420-0345-20552,,,MISSING,0,,
QR420-0345-20982,,QR420-0345-20931,,,MISSING,0,,
QR420-0345-21099,,QR420-0345-20984,,,MISSING,0,,
QR420-0345-20534,,QR420-0345-20791,,,MISSING,0,,
QR420-0345-00465,,QR420-0345-20082,,,MISSING,0,,
QR420-0345-20901,,QR420-0345-20987,,,MISSING,0,,
QR420-0345-20103,,QR420-0345-20195,,,MISSING,0,,
QR420-0345-20960,,QR420-0345-20414,,,MISSING,0,,
QR420-0345-20272,,QR420-0345-20696,,,MISSING,0,,
QR420-0345-20454,,QR420-0345-21086,,,MISSING,0,,
QR420-0345-21244,,QR420-0345-20645,,,MISSING,0,,
QR420-0345-20713,,QR420-0461-20106,,,MISSING,0,,
QR420-0345-20465,,QR420-0345-20234,,,MISSING,0,,
QR420-0345-20271,,QR420-0345-20156,,,MISSING,0,,
QR420-0345-20170,,QR420-0345-20476,,,MISSING,0,,
QR420-0461-20100,,QR420-0345-20665,,,MISSING,0,,
QR420-0345-00604,,QR420-0345-20480,,,MISSING,0,,
QR420-0345-20157,,QR420-0345-20835,,,MISSING,0,,
QR420-0345-20006,,QR420-0345-20382,,,MISSING,0,,
QR420-0345-20511,,QR420-0345-20321,,,MISSING,0,,
QR420-0345-20387,,QR420-0345-20238,,,MISSING,0,,
QR420-0345-20909,,QR420-0345-20539,,,MISSING,0,,
QR420-0345-20817,,QR420-0345-20574,,,MISSING,0,,
QR420-0345-20624,,QR420-0345-00896,,,MISSING,0,,
QR420-0345-20127,,QR420-0345-21073,,,MISSING,0,,
QR420-0345-20414,,QR420-0345-20953,,,MISSING,0,,
QR420-0345-20303,,QR420-0345-20438,,,MISSING,0,,
QR420-0345-20954,,QR420-0345-20356,,,MISSING,0,,
QR420-0345-21332,,QR420-0345-20148,,,MISSING,0,,
QR420-0345-20309,,QR420-0345-20325,,,MISSING,0,,
QR420-0345-20142,,QR420-0461-20081,,,MISSING,0,,
QR420-0345-20577,,QR420-0345-20891,,,MISSING,0,,
QR420-0461-20081,,QR420-0345-20245,,,MISSING,0,,
QR420-0345-20505,,QR420-0345-20731,,,MISSING,0,,
QR420-0345-20228,,QR420-0345-20639,,,MISSING,0,,
QR420-0345-20480,,QR420-0345-21266,,,MISSING,0,,
QR420-0345-20041,,QR420-0461-20035,,,MISSING,0,,
QR420-0345-20356,,QR420-0461-20129,,,MISSING,0,,
QR420-0345-20360,,QR420-0345-20893,,,MISSING,0,,
QR420-0345-20702,,QR420-0345-20671,,,MISSING,0,,
QR420-0345-20394,,QR420-0345-21072,,,MISSING,0,,
QR420-0461-20082,,QR420-0345-20527,,,MISSING,0,,
QR420-0345-20336,,QR420-0345-20328,,,MISSING,0,,
QR420-0345-20685,,QR420-0345-20617,,,MISSING,0,,
QR420-0345-20891,,QR420-0345-00465,,,MISSING,0,,
