Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-20916,QR420-0461-20019,QR420-0345-21057,QR420-0461-20129,68,36, ,,
QR420-0345-20424,QR420-0461-20017,QR420-0345-20590,QR420-0461-20080,19,47,QR420-0461-20017,,
QR420-0345-20826,QR420-0461-20039,QR420-0345-20838,QR420-0461-20111,91,31, ,,
QR420-0345-20576,QR420-0461-20050,QR420-0345-20192,QR420-0461-20023,85,MISSING, ,,
QR420-0345-20528,QR420-0461-20099,QR420-0345-20916,QR420-0461-20061,43,52, ,,
QR420-0345-20948,QR420-0461-20116,QR420-0345-20906,QR420-0461-20049,86,MISSING, ,,
QR420-0345-20884,QR420-0461-20018,QR420-0345-20871,QR420-0461-20002,93,27, ,,
QR420-0345-20592,,QR420-0345-20900,QR420-0461-20105,,MISSING,0,,
QR420-0345-20595,,QR420-0345-20094,QR420-0461-20083,,20,0,,
QR420-0345-20764,,QR420-0345-20812,QR420-0461-20097,,58,0,,
QR420-0345-20456,,QR420-0345-20850,QR420-0461-20019,,59,0,,
QR420-0345-20159,,QR420-0345-20884,QR420-0461-20120,,MISSING,0,,
QR420-0345-20850,,QR420-0345-20686,QR420-0461-20104,,55,0,,
QR420-0345-20446,,QR420-0345-20837,QR420-0345-21063,,MISSING,0,,
QR420-0345-20679,,QR420-0345-20576,QR420-0461-20103,,9,0,,
QR420-0345-20996,,QR420-0345-20446,QR420-0461-20013,,MISSING,0,,
QR420-0345-20818,,QR420-0345-20775,QR420-0461-20117,,MISSING,0,,
QR420-0345-20357,,QR420-0345-20652,QR420-0461-20091,,28,0,,
QR420-0345-20416,,QR420-0345-20854,QR420-0461-20047,,49,0,,
QR420-0345-20871,,QR420-0345-20724,QR420-0461-20040,,26,0,,
QR420-0345-20362,,QR420-0345-20592,QR420-0461-20089,,23,0,,
QR420-0345-20959,,QR420-0345-20996,QR420-0461-20082,,16,0,,
QR420-0345-20854,,QR420-0345-20595,QR420-0461-20121,,54,0,,
QR420-0345-20112,,QR420-0345-20829,QR420-0461-20090,,48,0,,
QR420-0345-20316,,QR420-0461-20036,QR420-0461-20034,,29,0,,
QR420-0345-20805,,QR420-0345-20557,QR420-0461-20024,,41,0,,
QR420-0345-20900,,QR420-0345-20565,QR420-0461-20079,,MISSING,0,,
QR420-0345-21071,,QR420-0345-20159,QR420-0461-20050,,62,0,,
QR420-0345-20428,,QR420-0345-20825,QR420-0461-20116,,64,0,,
QR420-0345-20652,,QR420-0345-20648,QR420-0461-20085,,56,0,,
QR420-0345-20961,,QR420-0345-20961,QR420-0461-20126,,MISSING,0,,
QR420-0345-20744,,QR420-0345-20979,QR420-0461-20086,,44,0,,
QR420-0345-20837,,QR420-0345-20424,QR420-0461-20012,,33,0,,
QR420-0345-20686,,QR420-0461-20094,QR420-0461-20039,,61,0,,
QR420-0345-20724,,QR420-0345-20766,QR420-0461-20130,,MISSING,0,,
QR420-0345-20367,,QR420-0345-20956,QR420-0461-20018,,65,0,,
QR420-0345-20392,,QR420-0345-20882,QR420-0461-20022,,MISSING,0,,
QR420-0345-20648,,QR420-0345-21071,QR420-0461-20124,,MISSING,0,,
QR420-0345-20674,,QR420-0345-20948,,,MISSING,0,,
QR420-0345-20771,,QR420-0345-20362,,,MISSING,0,,
QR420-0345-20122,,QR420-0345-20904,,,MISSING,0,,
QR420-0345-20825,,QR420-0345-20316,,,MISSING,0,,
QR420-0345-20650,,QR420-0345-20764,,,MISSING,0,,
QR420-0345-20904,,QR420-0345-21059,,,MISSING,0,,
QR420-0345-20565,,QR420-0345-20650,,,MISSING,0,,
QR420-0345-20085,,QR420-0345-20674,,,MISSING,0,,
QR420-0345-20725,,QR420-0345-20691,,,MISSING,0,,
QR420-0345-20340,,QR420-0345-20744,,,MISSING,0,,
QR420-0345-20956,,QR420-0345-20974,,,MISSING,0,,
QR420-0345-20829,,QR420-0345-20085,,,MISSING,0,,
QR420-0345-20962,,QR420-0345-20416,,,MISSING,0,,
QR420-0345-20882,,QR420-0345-20392,,,MISSING,0,,
QR420-0345-20335,,QR420-0345-20428,,,MISSING,0,,
QR420-0345-20979,,QR420-0345-20818,,,MISSING,0,,
QR420-0345-20345,,QR420-0345-20959,,,MISSING,0,,
QR420-0345-20616,,QR420-0345-20122,,,MISSING,0,,
QR420-0345-20753,,QR420-0345-20694,,,MISSING,0,,
QR420-0345-20073,,QR420-0345-20725,,,MISSING,0,,
QR420-0345-20372,,QR420-0345-21056,,,MISSING,0,,
QR420-0345-20629,,QR420-0345-20616,,,MISSING,0,,
QR420-0345-20833,,QR420-0345-20112,,,MISSING,0,,
QR420-0345-20320,,QR420-0345-20618,,,MISSING,0,,
QR420-0345-20125,,QR420-0345-20278,,,MISSING,0,,
QR420-0345-20421,,QR420-0345-20753,,,MISSING,0,,
QR420-0345-20857,,QR420-0345-20771,,,MISSING,0,,
QR420-0345-20571,,QR420-0345-20340,,,MISSING,0,,
QR420-0345-20473,,QR420-0345-20907,,,MISSING,0,,
QR420-0345-20618,,QR420-0345-20357,,,MISSING,0,,
QR420-0345-20974,,QR420-0345-21041,,,MISSING,0,,
QR420-0345-20692,,QR420-0345-20386,,,MISSING,0,,
QR420-0345-20547,,QR420-0345-20125,,,MISSING,0,,
QR420-0345-21059,,QR420-0345-20372,,,MISSING,0,,
QR420-0345-20278,,QR420-0345-20913,,,MISSING,0,,
QR420-0345-21056,,QR420-0345-20367,,,MISSING,0,,
QR420-0345-20957,,QR420-0461-20064,,,MISSING,0,,
QR420-0345-20694,,QR420-0345-20147,,,MISSING,0,,
QR420-0345-20820,,QR420-0345-20073,,,MISSING,0,,
QR420-0345-20398,,QR420-0345-20697,,,MISSING,0,,
QR420-0345-20913,,QR420-0345-20957,,,MISSING,0,,
QR420-0345-20147,,QR420-0345-20571,,,MISSING,0,,
QR420-0345-20986,,QR420-0345-20421,,,MISSING,0,,
QR420-0345-20457,,QR420-0461-20038,,,MISSING,0,,
