Patch_39_L1B1_12_12_even_co_29Ghz,Patch_39_L1B1_12_12_even_cross_29Ghz,Patch_39_L1B1_12_12_odd_co_29Ghz,Patch_39_L1B1_12_12_odd_cross_29Ghz,,Patch_42_L1B1_12_12_even_co_29Ghz,Patch_42_L1B1_12_12_even_cross_29Ghz,Patch_42_L1B1_12_12_odd_co_29Ghz,Patch_42_L1B1_12_12_odd_cross_29Ghz,,Patch_46_L1B1_12_12_even_co_29Ghz,Patch_46_L1B1_12_12_even_cross_29Ghz,Patch_46_L1B1_12_12_odd_co_29Ghz,Patch_46_L1B1_12_12_odd_cross_29Ghz,,Patch_47_L1B1_12_12_even_co_29Ghz,Patch_47_L1B1_12_12_even_cross_29Ghz,Patch_47_L1B1_12_12_odd_co_29Ghz,Patch_47_L1B1_12_12_odd_cross_29Ghz,,Patch_50_L1B1_12_12_even_co_29Ghz,Patch_50_L1B1_12_12_even_cross_29Ghz,Patch_50_L1B1_12_12_odd_co_29Ghz,Patch_50_L1B1_12_12_odd_cross_29Ghz,,Patch_57_L1B1_12_12_even_co_29Ghz,Patch_57_L1B1_12_12_even_cross_29Ghz,Patch_57_L1B1_12_12_odd_co_29Ghz,Patch_57_L1B1_12_12_odd_cross_29Ghz,,Patch_63_L1B1_12_12_even_co_29Ghz,Patch_63_L1B1_12_12_even_cross_29Ghz,Patch_63_L1B1_12_12_odd_co_29Ghz,Patch_63_L1B1_12_12_odd_cross_29Ghz,,Patch_71_L1B1_12_12_even_co_29Ghz,Patch_71_L1B1_12_12_even_cross_29Ghz,Patch_71_L1B1_12_12_odd_co_29Ghz,Patch_71_L1B1_12_12_odd_cross_29Ghz
11.277293,3.2619915,14.017013,0.65879422,,14.607372,4.5914593,11.933041,3.5438218,,15.167846,-8.4093781,9.5682268,-8.5902596,,14.35088,-13.759909,13.760449,-13.619333,,9.7027874,-7.7465391,13.237158,-10.885546,,10.431286,-4.9292183,11.949244,-11.806786,,14.139996,-16.286604,6.4511442,0.93041998,,14.917696,-1.026683,13.35624,-6.0846415
11.108228,2.0336432,13.341325,0.057422075,,13.933301,3.7215393,11.419127,3.1770973,,14.761245,-7.3386664,9.2215509,-8.9781742,,14.491658,-13.23326,13.461108,-13.468148,,9.4584312,-10.278994,13.043036,-13.56759,,10.884604,-6.0121078,11.86402,-11.309057,,14.110412,-17.859577,6.6335816,0.87216121,,14.494771,-1.6872684,13.33469,-6.2716265
10.409124,1.1917759,12.35009,-0.51834154,,12.950289,2.2582049,10.800059,2.091743,,13.94699,-6.1335325,8.856739,-12.632284,,14.109949,-14.953702,12.937452,-15.617771,,9.0628405,-11.308058,12.513717,-14.221808,,10.196889,-6.5914927,11.312703,-13.957684,,13.893982,-12.290401,7.0065446,-0.078732789,,13.705254,-2.5919816,13.190148,-5.2402716
10.262687,0.42525211,11.751992,0.26214856,,12.019605,1.181223,10.586077,0.94473845,,13.755733,-4.6224055,8.9573803,-19.245554,,13.591983,-15.078586,12.597268,-13.845019,,9.1043921,-13.806035,12.443754,-15.119155,,10.326897,-8.0633383,11.245295,-12.361648,,14.215493,-12.02687,7.8068309,-1.0045583,,13.320386,-1.8749179,13.196328,-3.1433239
10.307645,-0.47337404,11.274561,1.2760937,,11.364957,0.97962028,10.403342,-0.14334109,,13.985937,-4.7912111,9.1631603,-21.499338,,13.251811,-16.682524,12.468746,-13.756542,,9.4472504,-13.709442,12.559479,-14.098414,,10.132788,-10.281356,11.036792,-7.0729852,,14.984406,-8.8304014,8.804287,-3.2378223,,13.535917,-2.6057823,13.064327,-3.4222915
10.667572,-2.0614979,11.236794,2.4412684,,10.962483,1.1119244,10.245027,-2.3156466,,14.727427,-5.2973342,9.6728983,-11.104594,,13.063269,-18.697004,12.402681,-12.05353,,9.93221,-12.043803,12.986735,-10.594576,,10.550379,-13.389634,10.977497,-4.8210378,,15.885408,-5.9001307,9.9771833,-4.5754824,,14.000847,-2.0041633,13.075292,-3.9946201
10.963218,-5.4387436,11.472826,2.9048045,,10.443388,1.7083842,10.287836,-3.6960382,,15.197688,-5.555975,10.208034,-6.8146429,,13.086416,-14.661621,12.638657,-10.845613,,10.161855,-12.459299,13.567582,-11.157583,,10.986806,-12.51087,11.051425,-2.4975061,,16.428102,-3.0872607,10.74284,-3.4279468,,14.2482,-2.7290919,13.134499,-5.8190718
10.584531,-9.3453445,11.623999,3.7466316,,9.5327864,1.0141279,9.9890776,-4.1016474,,14.948947,-6.55054,10.087125,-5.5792017,,12.540566,-13.092229,12.451488,-9.6546822,,9.8551598,-12.413078,13.723781,-8.6652431,,10.730879,-14.193199,10.574479,-2.1336615,,16.402918,-1.2908921,11.411004,-2.0346344,,14.066199,-5.0876374,12.858501,-6.7782755
10.29915,-10.942974,11.98249,3.8348863,,9.3971043,1.6994359,10.162853,-2.6608245,,15.161813,-7.5420046,10.634682,-3.9044571,,12.574986,-11.511212,12.583102,-10.874742,,9.9758472,-13.830839,14.180661,-5.5527091,,11.128121,-15.170471,10.520287,-0.89407331,,16.708801,-0.51379931,12.280318,0.073831901,,14.069721,-6.8978553,12.844668,-10.286707
10.247314,-6.7278929,12.20956,4.5650716,,10.015451,2.1134965,10.009871,-0.90207887,,15.360855,-10.838482,10.61776,-2.5451124,,12.754875,-8.7557507,12.618426,-9.796032,,9.946949,-14.361075,14.486622,-4.3349314,,11.547812,-13.452808,10.570972,0.16807359,,17.075304,1.3552579,13.259183,1.9526148,,14.154875,-13.283494,12.915645,-10.298058
