metric,lowerRange,upperRange
TLM_2_Rx1.TempSensors.Combined,20,90
TLM_2_Rx2.TempSensors.Combined,20,90
TLM_2_Rx3.TempSensors.Combined,20,90
TLM_3_Rx1.TempSensors.Combined,20,90
TLM_3_Rx2.TempSensors.Combined,20,90
TLM_3_Rx3.TempSensors.Combined,20,90
TLM_4_Rx1.TempSensors.Combined,20,90
TLM_4_Rx2.TempSensors.Combined,20,90
TLM_4_Rx3.TempSensors.Combined,20,90
TLM_5_Rx1.TempSensors.Combined,20,90
TLM_5_Rx2.TempSensors.Combined,20,90
TLM_5_Rx3.TempSensors.Combined,20,90
TLM_6_Rx1.TempSensors.Combined,20,90
TLM_6_Rx2.TempSensors.Combined,20,90
TLM_6_Rx3.TempSensors.Combined,20,90
TLM_1_Rx1.TempSensors.Board,20,90
TLM_1_Rx2.TempSensors.Board,20,90
TLM_1_Rx3.TempSensors.Board,20,90
TLM_2_Rx1.TempSensors.Board,20,90
TLM_2_Rx2.TempSensors.Board,20,90
TLM_2_Rx3.TempSensors.Board,20,90
TLM_3_Rx1.TempSensors.Board,20,90
TLM_3_Rx2.TempSensors.Board,20,90
TLM_3_Rx3.TempSensors.Board,20,90
TLM_4_Rx1.TempSensors.Board,20,90
TLM_4_Rx2.TempSensors.Board,20,90
TLM_4_Rx3.TempSensors.Board,20,90
TLM_5_Rx1.TempSensors.Board,20,90
TLM_5_Rx2.TempSensors.Board,20,90
TLM_5_Rx3.TempSensors.Board,20,90
TLM_6_Rx1.TempSensors.Board,20,90
TLM_6_Rx2.TempSensors.Board,20,90
TLM_6_Rx3.TempSensors.Board,20,90
TLM_1_Tx1.1v8.Volts.Now,NaN,NaN
TLM_1_Tx2.1v8.Volts.Now,NaN,NaN
TLM_1_Tx3.1v8.Volts.Now,NaN,NaN
TLM_2_Tx1.1v8.Volts.Now,NaN,NaN
TLM_2_Tx2.1v8.Volts.Now,NaN,NaN
TLM_2_Tx3.1v8.Volts.Now,NaN,NaN
TLM_3_Tx1.1v8.Volts.Now,NaN,NaN
TLM_3_Tx2.1v8.Volts.Now,NaN,NaN
TLM_3_Tx3.1v8.Volts.Now,NaN,NaN
TLM_4_Tx1.1v8.Volts.Now,NaN,NaN
TLM_4_Tx2.1v8.Volts.Now,NaN,NaN
TLM_4_Tx3.1v8.Volts.Now,NaN,NaN
TLM_5_Tx1.1v8.Volts.Now,NaN,NaN
TLM_5_Tx2.1v8.Volts.Now,NaN,NaN
TLM_5_Tx3.1v8.Volts.Now,NaN,NaN
TLM_6_Tx1.1v8.Volts.Now,NaN,NaN
TLM_6_Tx2.1v8.Volts.Now,NaN,NaN
TLM_6_Tx3.1v8.Volts.Now,NaN,NaN
TLM_1_Tx1.4v.Volts.Now,NaN,NaN
TLM_1_Tx2.4v.Volts.Now,NaN,NaN
TLM_1_Tx3.4v.Volts.Now,NaN,NaN
TLM_2_Tx1.4v.Volts.Now,NaN,NaN
TLM_2_Tx2.4v.Volts.Now,NaN,NaN
TLM_2_Tx3.4v.Volts.Now,NaN,NaN
TLM_3_Tx1.4v.Volts.Now,NaN,NaN
TLM_3_Tx2.4v.Volts.Now,NaN,NaN
TLM_3_Tx3.4v.Volts.Now,NaN,NaN
TLM_4_Tx1.4v.Volts.Now,NaN,NaN
TLM_4_Tx2.4v.Volts.Now,NaN,NaN
TLM_4_Tx3.4v.Volts.Now,NaN,NaN
TLM_5_Tx1.4v.Volts.Now,NaN,NaN
TLM_5_Tx2.4v.Volts.Now,NaN,NaN
TLM_5_Tx3.4v.Volts.Now,NaN,NaN
TLM_6_Tx1.4v.Volts.Now,NaN,NaN
TLM_6_Tx2.4v.Volts.Now,NaN,NaN
TLM_6_Tx3.4v.Volts.Now,NaN,NaN
TLM_1_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_1_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_1_Tx3.1v8_A.Amps.Now,NaN,NaN
TLM_2_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_2_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_2_Tx3.1v8_A.Amps.Now,NaN,NaN
TLM_3_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_3_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_3_Tx3.1v8_A.Amps.Now,NaN,NaN
TLM_4_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_4_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_4_Tx3.1v8_A.Amps.Now,NaN,NaN
