metric,lowerRange,upperRange
TLM_1_Rx1.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx1.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx1.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_1_Rx1.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx1.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx1.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx2.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_1_Rx3.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx1.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx2.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_2_Rx3.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx1.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx2.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_3_Rx3.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx1.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx2.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_4_Rx3.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_5_Rx1.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens1.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens1.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens2.RFIC0.Beam1.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens2.RFIC0.Beam2.Power.TotalPower,NaN,NaN
TLM_5_Rx2.Lens2.RFIC0.Beam3.Power.TotalPower,NaN,NaN
TLM_5_Rx3.Lens1.RFIC0.Beam1.Power.TotalPower,NaN,NaN
