Lens and feed coordinates within the array global CS and probe rotation angle - Lens: EVT_Rx_ES1_V10_Npa48_UnBal_L6-89-10_Nominal_17.7_21.2_Nf8 - Array geometry: Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022.csv - Array Tool Version 23112022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
2.00,13.00,32.50,18.70,38.00,9.60,92.25,92.25,272.25,137.25
2.00,14.00,32.50,18.70,42.01,13.93,272.25,182.25,2.25,137.25
2.00,15.00,32.50,18.70,46.01,18.26,272.25,92.25,272.25,137.25
2.00,16.00,32.50,18.70,44.26,23.90,272.25,182.25,2.25,137.25
2.00,17.00,32.50,18.70,42.51,29.53,92.25,92.25,272.25,137.25
2.00,18.00,32.50,18.70,36.76,30.83,92.25,182.25,2.25,137.25
2.00,19.00,32.50,18.70,31.00,32.14,272.25,92.25,272.25,137.25
2.00,20.00,32.50,18.70,21.24,29.11,272.25,182.25,2.25,137.25
2.00,21.00,32.50,18.70,17.24,24.77,92.25,92.25,272.25,137.25
2.00,22.00,32.50,18.70,18.99,19.14,92.25,182.25,2.25,137.25
2.00,23.00,32.50,18.70,20.74,13.50,92.25,92.25,272.25,137.25
2.00,24.00,32.50,18.70,22.49,7.87,92.25,182.25,2.25,137.25
2.00,25.00,32.50,18.70,28.24,6.57,272.25,92.25,272.25,137.25
2.00,26.00,32.50,18.70,34.00,5.26,92.25,182.25,2.25,137.25
2.00,27.00,32.50,18.70,39.75,3.96,272.25,92.25,272.25,137.25
2.00,28.00,32.50,18.70,43.76,8.29,92.25,182.25,2.25,137.25
2.00,29.00,32.50,18.70,47.76,12.63,272.25,92.25,272.25,137.25
2.00,30.00,32.50,18.70,51.77,16.96,92.25,182.25,2.25,137.25
2.00,31.00,32.50,18.70,50.02,22.59,92.25,92.25,272.25,137.25
2.00,32.00,32.50,18.70,48.27,28.23,92.25,182.25,2.25,137.25
2.00,33.00,32.50,18.70,46.52,33.86,272.25,92.25,272.25,137.25
2.00,34.00,32.50,18.70,40.76,35.17,272.25,182.25,2.25,137.25
2.00,35.00,32.50,18.70,35.01,36.47,92.25,92.25,272.25,137.25
2.00,36.00,32.50,18.70,29.25,37.77,272.25,182.25,2.25,137.25
2.00,37.00,32.50,18.70,25.25,33.44,92.25,92.25,272.25,137.25
2.00,38.00,32.50,18.70,19.49,34.74,92.25,182.25,2.25,137.25
2.00,39.00,32.50,18.70,15.49,30.41,92.25,92.25,272.25,137.25
2.00,40.00,32.50,18.70,13.23,20.44,272.25,182.25,2.25,137.25
2.00,41.00,32.50,18.70,14.98,14.81,272.25,92.25,272.25,137.25
2.00,42.00,32.50,18.70,16.73,9.17,272.25,182.25,2.25,137.25
2.00,43.00,32.50,18.70,18.48,3.54,272.25,92.25,272.25,137.25
2.00,44.00,32.50,18.70,24.24,2.23,92.25,182.25,2.25,137.25
2.00,45.00,32.50,18.70,29.99,0.93,272.25,92.25,272.25,137.25
2.00,46.00,32.50,18.70,35.75,-0.37,92.25,182.25,2.25,137.25
2.00,47.00,32.50,18.70,45.51,2.66,272.25,92.25,272.25,137.25
2.00,48.00,32.50,18.70,49.51,6.99,272.25,182.25,2.25,137.25
3.00,1.00,-32.50,18.70,-35.44,18.47,49.50,229.50,49.50,274.50
3.00,2.00,-32.50,18.70,-32.10,13.61,229.50,319.50,139.50,274.50
3.00,3.00,-32.50,18.70,-29.56,18.93,229.50,229.50,49.50,274.50
3.00,4.00,-32.50,18.70,-32.90,23.79,49.50,319.50,139.50,274.50
3.00,5.00,-32.50,18.70,-38.78,23.33,229.50,229.50,49.50,274.50
3.00,6.00,-32.50,18.70,-41.32,18.01,229.50,319.50,139.50,274.50
3.00,7.00,-32.50,18.70,-37.98,13.14,49.50,229.50,49.50,274.50
3.00,8.00,-32.50,18.70,-34.64,8.28,49.50,319.50,139.50,274.50
3.00,9.00,-32.50,18.70,-28.76,8.74,229.50,229.50,49.50,274.50
3.00,10.00,-32.50,18.70,-26.22,14.07,49.50,319.50,139.50,274.50
