CT1_240701-17_17_55-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:55
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,40.34595636842105
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
27.5,, 27.6,, 27.7,, 27.8,, 27.9,, 28.0,, 28.1,, 28.2,, 28.3,, 28.4,, 28.5,, 28.6,, 28.7,, 28.8,, 28.9,, 29.0,, 29.1,, 29.2,, 29.3,, 29.4,, 29.5,, 29.6,, 29.7,, 29.8,, 29.9,, 30.0,, 30.1,, 30.2,, 30.3,, 30.4,, 30.5,, 30.6,, 30.7,, 30.8,, 30.9,, 31.0
-32.65742409381946, 278.35302643920255, -39.823103159838006, 127.03411490424843, -48.25589066381167, 291.45674137600986, -38.259343175138255, 35.37607248549609, -35.899192184065626, 93.33688672655357, -42.37478748849068, 225.95646219982737, -28.65366953479188, 249.65315904455247, -30.715392974147218, 282.85508473947164, -25.315066726668082, 208.25875772373945, -37.282359686341174, 293.2135821529499, -29.316798775864697, 300.1480160296077, -25.04234747131023, 343.1234382847674, -29.041218803142694, 214.88114881381497, -39.09184324007076, 155.76208325169887, -31.192210407035027, 141.3595711331974, -29.7619730076064, 64.70308007935033, -33.570660688299874, 319.77726761222664, -31.347756839102004, 195.9489779454691, -28.83263016158953, 221.72508789048356, -29.312728330584733, 24.18544406056258, -47.56329031951517, 343.5753013443937, -30.36107122695131, 329.69644474043594, -27.2464221894683, 329.7904985089619, -26.20834466060561, 277.6069012405867, -35.84572728539076, 246.7798027971291, -23.935423840632314, 65.08836815700434, -20.253562142315566, 356.09550152604737, -21.999942538358567, 304.87168308335254, -38.51451495367168, 180.71992775514502, -21.975767594025957, 111.30232655853837, -23.939476964882843, 83.8122912205214, -23.16714552298777, 292.78012421648594, -38.93744237779931, 235.41317198341926, -28.69147090869689, 172.43080591593298, -29.99215350223588, 126.70435537174028, -38.58368479005573, 344.8747614991543
-34.80865235986854, 219.30828087004883, -30.047105646276936, 312.52262467302546, -35.068569056493025, 38.75012820562493, -34.13659547397848, 56.459533968941564, -35.715263142251494, 353.6243916834752, -41.682209904884395, 259.3349995158685, -34.898885876651946, 284.0817929609534, -38.96295207001984, 277.96457982035434, -32.1573186972704, 100.90709141381404, -29.5420749724987, 2.065387427879556, -25.78455930850175, 215.45833283208813, -28.601022160673434, 260.5867870431589, -25.010717319228192, 117.3966712624939, -33.743932572452685, 69.26667606881229, -25.554581770866733, 296.09481655652166, -38.42762885462332, 64.54142494225398, -27.588054317671027, 130.19579435833796, -26.311057249754853, 103.06587115120017, -30.588433723309198, 85.93767255571947, -35.68706906074015, 65.58717821196305, -33.48526825289333, 270.489534430605, -30.652893511519935, 241.4984043021636, -23.718984986395483, 178.9623727060342, -27.53974898619262, 46.567086941210185, -24.468483360534915, 58.76455711866284, -27.635423488235947, 323.56174594179816, -32.612025541803476, 235.57070878378482, -28.467696789090677, 178.40244258424462, -41.07693632334094, 128.43534497355955, -24.987192152017993, 346.88997662805696, -24.72904249965579, 293.3032365256452, -27.672444957939124, 137.92158870995235, -32.45582558525399, 110.75996128925847, -29.55024031341258, 359.3472032390413, -29.428652988320994, 293.76475002719746, -31.304186384914097, 229.19133404458466
-35.774150852760606, 141.99044707849643, -37.547170086632995, 222.88313832927744, -27.26444986073649, 128.1765940918015, -34.11693717906479, 115.76937434115372, -31.869586125032143, 10.83934438938735, -34.384839470493766, 25.81215615466269, -39.72420153523741, 308.65518962741913, -38.59360195663134, 142.0927887071516, -27.77959348449351, 85.6067140350604, -39.05972770984811, 42.85244980424653, -35.46082932911795, 112.96960614635802, -33.04068989877207, 196.17550887928297, -39.198643214296915, 284.9952526138617, -26.76599281335934, 185.18967934286653, -31.944504010546368, 68.0222327425141, -26.694314492646907, 319.0323616114937, -26.322722137073317, 302.92516386103875, -29.491262426186545, 303.6928296919255, -30.4063523703932, 190.48905838626604, -41.88739744274122, 64.72801285463338, -25.615050522998075, 16.580870040431947, -25.92304122480291, 347.48963091695504, -29.509017674944182, 225.10310413944157, -29.574843295994707, 177.89529979649575, -29.323843333758877, 268.4680490774603, -24.26644195557334, 89.31202862135055, -26.273283874060738, 24.301199619000744, -31.0260159820027, 334.7973787522544, -30.36497043865724, 144.53631503926513, -28.1284275937864, 230.95761377596168, -27.977819218204534, 90.06909549928561, -21.764670244774322, 287.56914699913364, -26.705651809963644, 268.59383800850634, -26.84241000371828, 185.02279245949768, -44.13429944151204, 26.725414326930277, -43.32047321903987, 273.19685798947006
-41.173295860946304, 50.34467437027087, -32.8165098106414, 215.93655986380242, -30.15649994639056, 195.80390526268198, -39.790410891497494, 55.414427069674275, -36.61428188715128, 14.601517397159052, -32.18817098968217, 109.40077450323574, -33.30220374422347, 298.1857323621239, -29.588906222232744, 16.11307078748392, -35.77358251553202, 210.75145354080715, -40.997217812677846, 6.949016787665176, -39.86748495864055, 0.38887818979334754, -29.59308521722384, 236.56682671590988, -61.42992326672311, 151.75141528403404, -32.19486766001601, 245.11913019118782, -48.09633726350944, 353.49334377722147, -34.99133586614277, 301.78448209952, -31.624956772879976, 203.98462941936486, -42.19493561851854, 38.26654546940122, -28.28776744864582, 29.74901605478827, -38.794193814484444, 201.84211191081474, -28.131225680186056, 181.61572013082233, -31.583967246861988, 69.58090893959825, -31.526602284979596, 148.05833559721327, -29.778006432223435, 95.33731194615501, -31.380297463043973, 51.6254889851396, -31.008624665210803, 337.84175512445796, -35.9527069700949, 200.6279134450595, -41.080984713561215, 227.97763278119274, -39.52600849294915, 197.30119258197695, -29.794887731219895, 80.78686413189848, -51.076385904549745, 345.63473208418947, -34.51215044476233, 229.87555637563338, -29.277015018812016, 187.07658338337868, -23.26667138882078, 80.0235931297373, -32.90041516354317, 336.6824886784272, -22.824066325362253, 298.58607978425175
-36.57540470259191, 243.64675876529185, -36.63032923729855, 307.6787641738394, -30.02665657290146, 318.508390268003, -34.22436413206652, 153.43777164693446, -42.46177364594693, 59.126244955546746, -32.90713982897809, 253.39242817859326, -40.773881918359116, 150.0541311884382, -34.04332291066766, 74.64468531139512, -36.71801485555839, 96.41802575739473, -33.51992210632278, 222.67880433044954, -30.392592935920966, 358.00503382236224, -30.09171434556397, 226.72203534898512, -31.009779850957003, 69.66981833202281, -32.630170563968065, 90.35416072653541, -36.73763196547899, 211.83183188916402, -42.143568262629984, 274.7854813365716, -27.359432113121027, 344.6379483228608, -31.445958327697436, 207.70928083430064, -29.17045022072394, 60.71029876247423, -32.885881512293494, 17.75269247809152, -27.051251979660123, 308.44310589742895, -25.094337522019565, 132.07180124661383, -29.927468514953553, 133.859119700085, -26.40568408451386, 131.1172910117381, -31.531955173909733, 105.2953695623282, -33.03175941243167, 323.5218171385318, -34.04300685879705, 304.9715785879007, -31.640207671598763, 183.23871819358286, -29.297264147742634, 172.02995315654687, -27.960120759854288, 33.13561196943044, -28.02772731988796, 314.09920842618794, -26.917077453100582, 264.86931691469334, -24.844591224573, 198.67199842588536, -24.98515150088465, 52.4033096793966, -28.99283579471635, 352.5072207841157, -40.4883519854053, 253.15800367360205
-43.52929570051239, 214.38938123231446, -39.080480728826224, 254.44568772432686, -39.59416376788275, 236.1640930163196, -41.57022840596716, 81.2057069916629, -31.32959637740366, 7.0740152864953725, -34.23557208602022, 44.8370702542003, -33.400066763172504, 185.66759791272128, -30.82438740583928, 229.1962235768865, -37.854202521423964, 301.07775095492235, -27.200870604920233, 155.4881606511119, -33.26277236952156, 89.19527874296443, -37.909340158008106, 200.16784673333999, -33.89410772923935, 36.31090359183756, -28.521464992685427, 182.09601023325297, -40.672539112702175, 46.35787168599497, -36.36025298695045, 319.47056335788636, -33.67322275673587, 198.5808459144756, -36.17516727548406, 311.1133399945379, -31.615400920471245, 222.93283275159106, -42.21799126146184, 252.01171489197452, -27.330226933949277, 119.70208034059493, -33.957393226108785, 123.53879699149434, -35.19165940101716, 328.2625056548584, -26.42368088593521, 281.3849095646535, -36.16653183017635, 197.30235537411096, -33.00994566418097, 121.18313143853852, -26.04482967938604, 53.747043341534166, -38.075400003375805, 292.7038560051568, -26.615389226273063, 164.055247417877, -37.21290508925479, 152.6124791707023, -34.75888305326598, 37.1682371079012, -25.530456201004654, 6.039740621360746, -27.220349326423676, 258.9022674638597, -25.276766886165525, 172.17299370464613, -23.9658599682941, 128.90098210915863, -29.056140047884853, 89.73145162297564
-31.687709733985198, 261.7329485968453, -46.57041048109099, 240.46001869414772, -32.74835697751884, 24.3587760380616, -35.96455726436381, 283.1264473531113, -33.67456837045022, 302.97891962642586, -30.832695355797682, 151.48809191553894, -31.623664777823887, 162.11335647620166, -41.26169115827728, 343.2477313202815, -29.08690396309865, 87.51499258437305, -46.010674104021376, 214.41509946841288, -28.521891665575325, 167.77201770495245, -37.66726363527734, 341.7058510178214, -35.87370905215502, 171.60394974372727, -30.63677197405166, 98.75597807466599, -28.269537761710993, 356.57411335560363, -26.01963332948506, 197.31074245628875, -45.53676851761313, 271.2305444548276, -32.182103290443294, 191.65031068503782, -30.95745502561851, 259.73788601280523, -34.636851116349625, 281.16399835878684, -28.367037325004453, 358.04433854699283, -34.799158111598786, 332.7846445409057, -36.17561254518325, 207.0966351109946, -35.42916997945228, 85.5580033231209, -29.987751504187198, 47.840332672078254, -29.900544987894317, 12.824511381924811, -25.750435621178845, 296.8367523979204, -28.49313369438405, 223.28789342433475, -34.01937979826493, 83.14858790132857, -24.021907190089614, 53.739233099169766, -31.76231981352831, 4.053289226947469, -25.257006130964456, 262.77709429585195, -30.190361877043813, 175.70542151739377, -25.10305754458009, 152.90369377264759, -24.429914269952747, 16.799602157894203, -26.03779437890712, 6.776728241297491
-28.005353802572554, 246.62385995252285, -37.73728295982539, 140.49585846277975, -34.894788428533744, 81.8464169074495, -30.584222239617482, 55.198572052718674, -48.958622943337076, 316.3792889959037, -37.264527027035506, 130.97795664221854, -33.41341442826883, 295.02832737827174, -41.25597829647684, 285.7530495272622, -33.75469442871105, 245.6035772812316, -32.17762804661932, 252.0627116769574, -29.983051765485868, 339.3731799823972, -31.00971639638903, 290.0130182206316, -32.74585169997684, 339.24226416943844, -40.40211589878754, 192.46177679229226, -37.06499727780995, 5.712854536489783, -26.272357191361632, 16.40253084279547, -34.09583399612469, 307.17174006814025, -40.770141896543315, 37.99511473132074, -31.890507696530843, 239.98896548052517, -33.63163270530332, 352.5895380778848, -30.477901874823303, 51.58169032874795, -33.13318950990141, 232.11665206375275, -29.88926378346706, 194.26982263740064, -26.84050300808805, 202.1981228141352, -30.509316555033756, 145.29363595076052, -32.020641289187175, 99.0891131912794, -25.52569989143999, 319.65356889851546, -25.377673462245266, 291.0163554977688, -24.413899348539637, 153.84151834098665, -26.8270858073274, 81.40485361181597, -34.3215355949745, 91.3625937201985, -25.364633668014037, 14.999667404333277, -28.44674938655485, 216.38884304368173, -26.23433543825182, 87.31302207572284, -34.178799342740106, 209.99125418664138, -28.10646758823197, 339.234756947673
-27.60416910919945, 42.52882671363141, -34.11233187779316, 253.82962120988697, -29.108943778533707, 10.396171456155335, -30.313723856300648, 310.89807707282307, -35.299775703829866, 77.8309008095636, -37.18554230746089, 71.29032002623651, -53.55116280570904, 342.08193371864974, -28.163557561555947, 140.97804906255382, -25.420818972405527, 346.3688432105545, -32.669350726723565, 39.23301896316403, -26.39829359848321, 276.122445744736, -37.55994176815521, 282.24497142274754, -37.100540466560794, 87.05664724139996, -35.78161157582294, 353.6232245554526, -35.71913873312403, 111.70242244288531, -37.10056458098179, 325.67188811297467, -35.32474212931385, 135.4055260882288, -40.18970492491398, 118.24894945229947, -35.379925032694956, 175.6747205196902, -61.058737075425356, 291.9305211987837, -29.370245449727204, 26.64878863121903, -25.72145256765615, 286.0723005269304, -27.674433453202077, 307.5316550389588, -38.86755569297905, 160.83486081271292, -29.23997551245641, 115.60129854517012, -27.191966551925134, 53.12182196428444, -26.4747338593053, 327.98817015431223, -26.170495029101485, 321.78005033890065, -46.48593386389698, 100.58001657789481, -28.114546790460757, 173.05334800203445, -26.000116315992564, 34.64505680079726, -28.72737079782528, 215.206841657927, -31.09020364707915, 248.57824493612463, -35.64929705032035, 221.16373828234418, -26.5127713694959, 177.422266975283, -34.61922110042093, 110.30923846630982
