9.050043762,346.4563826,10.87968275,275.1236094,12.31082343,203.1882692,13.77916508,129.0406402,14.96384042,56.42076136,16.15080599,343.3451761,17.11197698,267.1628577,17.48637517,195.4397609,18.20562936,123.3712743,18.81098137,50.01983336,19.59790788,337.4966643,20.29949958,263.3428592,20.30740579,190.4048592,20.04028698,116.4853849,19.7906474,42.68912887,19.28200461,334.0537214,18.96982434,264.1891355,18.9153397,194.8832445,18.82252552,124.0510176,18.54996111,54.13902263,18.21342719,344.5665211,17.98455077,276.2524127,17.82157627,207.8603842,17.36514582,138.0548953,16.86536443,68.16682361,16.10271044,0.377123142,15.66760747,294.3582562,15.30558357,226.6113009,15.50194754,159.3029628,14.73611809,91.60527797,14.43558636,24.82206126,14.27823539,318.3538147,14.36330194,250.1310188,14.04792138,179.0733333,13.64479425,105.6979823,12.77093586,36.54249024
9.427827345,315.3557435,10.99221239,245.4893249,12.50122655,174.0727943,14.26991661,101.2048925,15.71109165,24.99263871,16.61188284,311.0748316,17.43732938,234.0711227,17.71644529,158.3247959,18.15148519,84.77506444,18.64193713,7.742857353,19.01269113,293.8759284,19.06950874,217.7827027,18.62296313,141.7054166,18.03024546,63.13595724,16.41404599,349.0040016,14.97666743,276.4358953,13.37902699,207.6551137,12.13941322,142.1083617,11.1751773,76.77769692,10.07692973,14.25071291,9.08853785,312.289259,8.954035192,250.8774232,8.91802787,190.694425,8.791109212,123.3173695,8.650889265,57.79082978,8.119282686,350.5116553,7.894871567,285.7959697,8.036891784,221.5360607,7.826927257,157.3546355,7.923492453,90.97157233,7.979781625,23.42634974,8.148061357,314.2957808,8.165999015,241.9272268,7.287051701,166.5997614,5.273425966,97.64666819,3.121182541,30.54282729
5.868750078,300.0702443,7.15073283,230.5311389,8.608807795,160.7874249,9.610961946,88.10412698,10.70332771,16.8729265,11.82503298,305.7395233,12.71156433,231.4318169,13.21884271,160.1956195,13.78241663,87.39876902,14.39334009,14.23736217,14.82164487,300.2861963,15.21018531,226.1280993,14.67931188,152.7289768,13.82558933,80.48907003,13.16954719,8.65337181,11.97665231,301.2169937,11.20525109,234.8322695,10.48329932,170.1624576,10.05948422,106.0786325,9.720753596,42.82203949,9.59417734,339.0274612,9.750296664,275.8283518,9.974154279,213.2121599,10.13552878,147.8704904,10.56848052,80.36288672,10.50942651,12.46972498,10.71518388,304.8770227,10.62012885,235.5668586,10.89072137,168.0051164,10.15289078,102.3781495,10.08683307,35.29081604,10.16305479,330.3948265,10.59036639,263.2364187,10.55455363,192.9652849,10.41400142,119.0339663,9.686420286,49.57270105
1.087070157,13.32088195,3.576099945,299.3399451,5.662157312,225.4368187,8.139856296,149.486559,9.644646344,73.92757721,10.75618827,0.20566029,11.87263231,286.919438,12.63404826,214.0377172,13.84869114,144.3017798,14.77279636,70.30482796,16.21305783,0.916434929,17.1984749,286.5658201,17.81322743,214.130696,18.82068404,137.6536727,18.70204816,61.58456113,18.56456928,347.5546466,18.50261124,276.1693666,18.69347202,204.2047538,18.86367428,132.624374,18.81492322,60.36064225,18.55646079,349.5764542,18.63298682,276.9513655,18.3821373,207.8580714,17.94756921,134.8717531,17.54665846,64.05206107,16.86239487,353.3309599,16.61038012,284.1943566,16.39463475,214.3383674,15.8846833,145.9231629,15.34963877,73.77168105,14.50180824,7.417824551,14.36340518,299.5606625,14.43596114,231.5192067,14.20906427,160.0031676,13.58939619,88.00510523,12.56098082,15.70786368
0.876812356,358.6265598,4.208493833,290.8945093,6.319140719,221.1004374,8.523226407,146.5048805,10.20961616,73.05521865,11.7206414,357.7402575,12.75805692,280.166805,12.9922064,206.7075592,13.52180777,134.5983893,13.79581043,61.01187905,14.41455957,351.299402,14.90509615,278.7542065,14.81930838,209.2509595,14.81313014,139.4301296,14.74351884,67.82187431,14.64862512,1.789514938,14.61525863,293.1117931,15.03250197,226.3123923,15.43730432,156.7679977,15.76738193,86.3023416,15.98188087,15.21853657,16.00151155,304.9970299,15.88558563,235.9026084,15.64928969,165.1712259,15.15653353,94.40248227,14.69335667,27.35375507,14.4915274,320.9216666,14.29497586,252.0023786,14.74688885,182.9574535,14.13769774,113.576345,13.93831256,46.29047824,13.8763568,337.5507637,13.95555854,267.5903437,13.58971741,196.5319593,13.16022617,121.7442161,12.1790487,51.95209199
7.605235314,348.523669,9.128816503,282.203286,10.72955871,213.6875901,12.91220457,143.9293496,14.70892557,68.89455706,16.01023427,355.6534651,17.37841676,278.0011627,17.84894726,199.1818364,18.36140218,124.4803747,18.7384736,45.20656011,18.9587301,330.3045666,18.78864551,253.6597135,18.25405564,178.6204376,17.58664696,101.3850004,15.97423096,26.43135515,14.52952399,314.6958869,12.78029066,247.2897207,10.89331463,183.3156186,9.499705468,128.503012,9.605871606,73.70279268,10.10029943,20.32806406,11.78757649,316.944786,13.06858616,254.2944296,14.31949825,183.8829507,15.0420144,111.9495095,15.42302957,39.82763933,15.91889719,326.5878716,16.24466142,253.1369748,15.77082259,179.8519227,15.08293906,104.3631646,13.83633749,34.79578795,13.13781055,325.3513238,12.33821811,257.5464433,11.33211724,189.9087859,10.52358751,123.6764564,9.185663081,57.35930754
4.021206321,326.3832794,5.191340337,261.0444003,6.4465011,195.4161434,7.80312941,128.6957718,9.529457821,61.0735373,11.46936712,350.6568406,12.80218704,276.3298121,13.62233493,204.7666868,14.58692479,131.7765674,15.28322076,59.01042127,16.22089127,345.6747309,16.71132677,271.6542551,16.99324079,199.1439891,16.64672994,125.0952767,16.52944929,50.85794868,15.7448251,341.2289581,14.98600789,271.5481787,14.63625359,205.1389305,14.26974873,138.2250589,14.04658191,71.76925785,13.92477842,5.226323417,13.68435893,299.6866709,13.8684683,236.2416988,13.82601343,169.8524843,13.85473088,103.2214619,14.10416917,36.70534187,14.32277487,329.7803005,14.60977037,259.9308109,15.1756378,188.9952669,14.60466295,118.5503095,14.4177725,49.21563712,14.16442009,338.9608981,13.8213449,269.98155,13.21936589,199.2168456,12.65899953,127.1297799,11.54362493,58.95450039
5.821889313,108.7680936,7.226298429,41.87177237,8.682014209,333.8699162,10.76771258,264.5710493,12.64812236,191.8471534,14.22738352,120.1103354,15.77579107,44.45111953,16.81829652,327.2674334,17.98373953,253.3506889,19.0962473,174.6441535,19.96640674,97.67083308,20.62542105,18.89876126,20.82319147,300.1469443,21.05309516,217.6189141,19.99635907,136.7613231,18.84044773,58.7186154,17.48480901,345.4356278,16.26494914,272.4426802,15.11173316,202.1901175,13.73154321,131.4405721,12.11509944,63.49874334,10.58095933,358.1594715,8.861253839,299.9615791,8.129678035,239.8965543,7.824244812,183.4157832,8.209086753,124.1634158,8.946497364,63.73108004,10.28707546,1.000582381,11.1658332,293.6249128,12.10476823,223.2245447,12.60668133,152.9354845,13.27323388,78.88263001,13.77706127,5.689338057,13.48297163,289.4731075,12.6882597,216.2352037,11.25450159,143.0781608
8.593447902,94.9518359,9.88350173,27.11850309,11.34315976,319.1641213,12.77321021,246.6417101,14.26635571,176.2965364,15.7924585,101.9529047,17.02855137,25.99414188,17.93634889,312.3076982,18.89600788,236.4465189,19.85383537,160.3182687,20.84697377,81.15452415,21.32978865,1.103493436,21.13260532,282.286564,20.26285466,201.5203539,19.05386547,125.3288117,17.75255353,54.14758835,16.46766872,345.3481173,15.88680849,277.922327,15.02269099,208.5198924,14.21216192,143.7255692,13.92184516,77.74647502,13.54886413,13.72277557,14.11930344,309.7662467,14.22005908,239.8282872,14.01569415,170.2879999,13.82858029,98.8590669,13.17562406,31.0528855,12.61039379,321.6460625,12.07846507,251.6394023,10.71458558,190.3805136,10.32995634,129.4712552,10.70472316,71.51222806,12.14922813,8.246029101,13.10809942,296.3344004,13.74088401,221.7808425,13.74358407,147.5763564
2.16451376,251.0476828,3.605116966,180.9231573,4.390050919,113.6004034,6.121338032,45.1468049,7.866828007,334.7639549,9.1804804,265.0042138,10.84380006,189.899875,11.49748448,117.3364056,12.78936069,48.75962044,14.4649092,333.6846153,15.81838003,260.2423277,17.16556143,184.098132,17.64710704,107.0892648,18.63637736,28.17993413,18.37383931,309.3082907,18.22763749,233.9180665,18.078928,160.2597664,17.80889942,87.13048105,17.97047949,16.88441029,18.05382039,304.0892158,18.03656528,232.7324202,18.30286095,158.4698539,18.2201365,87.18237657,18.05729192,12.39915692,17.72356125,299.1106063,17.30421684,226.9761682,17.38738627,153.8504333,17.20711869,81.3560209,16.84632001,9.37138429,16.37917992,294.173921,15.33341997,223.3362581,15.02211492,153.7976043,15.02427901,83.80604464,14.70256534,12.09280049,14.31034519,300.1406285,13.68126446,224.6175573
6.218897813,274.9350436,7.889994679,208.994792,9.77711865,141.3545004,11.68987106,68.6135351,13.66301415,356.4826498,15.4675476,279.404221,16.90784347,199.4807776,17.61106128,120.7171805,18.20407131,42.73772499,18.65468453,324.4360249,18.85738875,245.3929456,18.99453248,167.9125397,18.58607716,91.21209458,17.59228389,14.19188512,16.65796607,300.6468655,15.41488787,232.7894789,14.3814096,167.9509511,14.26351197,105.4966991,14.79888622,41.53348478,15.80004093,333.2943179,16.25711723,260.6353458,16.66194507,188.7002585,16.75351498,116.6286619,16.51388992,44.63124992,16.20759421,334.2672443,16.20837068,265.2206491,16.39218647,196.8107917,16.73780298,124.8228555,17.36200591,51.23479194,16.75520596,337.7378375,16.37905487,264.5231896,15.94789444,194.025728,15.84653264,122.9685045,15.40808644,51.08685964,15.07652884,337.0127774,14.78087781,266.3988059
10.09307105,157.6721045,12.0228291,89.29467005,13.83436349,18.45001519,16.10308163,304.9434352,17.75312954,226.3186484,18.79349714,150.2729534,19.9261756,70.18944477,19.88166783,350.238505,19.9569856,274.3071281,19.76911387,195.6198329,19.47513876,121.9088911,19.01417107,48.50970409,18.19972722,336.9461797,17.91373148,264.0134393,16.54070099,193.1668114,15.60478376,125.706975,14.71171542,61.92777674,14.238556,358.9260747,14.45857145,298.4535334,14.82528176,235.7443189,15.29649585,173.572747,16.64012092,107.6067381,17.52692604,41.23612679,18.33944219,329.9195717,18.99422465,257.6392702,19.13713993,185.7188475,19.68851348,113.9545043,20.02614948,42.09533699,20.13063451,330.5690124,19.83031296,254.3029489,19.19268628,183.5236556,18.97158707,112.0566474,18.67081655,40.83985825,18.22388273,328.7794555,17.27484446,257.834039,16.06658179,185.9790647
7.157232193,129.7966676,9.158316933,62.47838455,10.79033116,354.5923287,12.34511489,282.8460388,14.07910658,211.4250242,15.26208228,138.3388366,16.58985389,61.0698779,16.67268431,346.5307516,17.17962285,274.2887188,17.32377978,199.9959931,17.60693099,129.1309559,18.23902301,57.00474384,17.91132486,345.2363608,17.6515398,273.9062317,17.26835483,203.8644142,17.04587311,138.7890502,17.19555187,70.88308789,17.3399025,3.218045307,17.74585377,294.1971258,17.84635822,223.731276,17.78821584,154.5971175,17.9580464,86.6235412,18.0349247,17.87582626,18.05504103,308.917612,17.92495215,238.6004798,17.77675813,169.4810201,17.79049661,101.8033785,17.56989517,31.04770083,18.06166884,321.4850792,17.31251779,251.1943242,16.98713972,181.4705411,16.80153442,113.7721064,16.70222856,44.20586849,16.36642052,334.9077609,16.17403796,260.8908221,15.65511791,190.3834403
8.303726573,128.3133662,9.862526417,58.05000559,11.36633583,347.2918776,12.89914263,276.193829,14.33014885,204.2030319,15.43149567,131.8538898,16.26638919,60.1361015,16.99662063,348.3215269,17.81861873,277.7949439,18.87262417,204.6166271,19.79255091,132.0122367,20.27765374,59.36364249,20.61125307,346.2392901,20.90621156,271.7285563,20.74220533,200.5264709,20.81802364,127.8404597,20.70051972,58.88597339,21.07653291,348.6389077,21.51614744,277.6028789,21.75452736,205.6315578,21.58580269,132.6007763,21.51136569,60.86930632,21.59323766,351.7682961,21.25333986,278.4535745,21.06890781,207.5387781,20.68479618,135.0385202,20.53368498,63.74393496,20.2648191,351.6642596,19.54737997,280.6236115,18.5159097,209.0069974,17.52282476,142.483713,16.94422937,76.94407416,17.15162617,12.16890669,17.30824499,302.9627966,17.41484693,233.7454083,17.41041801,158.1027111
9.69468402,132.9500064,10.89129204,66.45017866,12.35863681,0.494736632,13.84293238,289.2866393,15.53315831,219.7511216,17.2163381,144.8328316,18.29407378,67.27785043,18.74891475,352.4560759,19.05218341,277.3577977,19.33801602,203.8308067,19.70557425,128.4195367,19.80917179,55.10362455,19.39803606,340.9019575,18.33106463,268.7485633,17.58924162,199.7368505,16.94339846,135.9084937,16.71218296,72.56848918,17.23187762,7.287430212,17.91005849,298.8406981,18.33561314,228.22597,18.3647655,154.3299126,17.93535554,84.49785645,17.74197464,15.49147958,16.97317324,306.8534176,16.47916533,241.1624477,16.23722931,174.5674648,16.2427801,111.5290044,16.5364308,43.92055528,17.2709974,334.970469,17.11578627,265.2122936,17.05536027,193.9916742,16.84066857,124.8291997,16.90796287,55.21761067,16.63671683,344.2689338,16.22145225,270.7870453,15.80810931,200.9384254
9.604014141,234.5388248,11.59133855,165.2911501,13.40809023,93.52215663,15.16030476,19.98801637,16.34895329,304.3467419,17.04763746,229.9234902,17.48597072,155.2260313,17.50482316,81.82961876,17.44154047,11.44308318,17.50979343,299.6982756,17.43414098,230.7838513,17.07906538,163.9459719,16.88763691,98.969684,17.00384332,30.78859433,16.55408206,326.6378437,16.72317819,262.4836946,17.04816673,199.5177867,17.7475034,134.5386142,18.52200328,67.91599205,19.14307686,0.87842676,19.47075049,291.7207612,19.86275925,222.4560708,20.06258735,155.5135518,19.96053041,85.02581685,19.845951,16.81074592,19.51557342,307.4134905,19.5072064,241.226066,19.77888425,174.5340696,19.49084766,105.9558033,19.15723515,36.52393078,18.6149074,330.3176408,18.56624182,264.6597994,18.97740382,197.4869166,18.74839497,127.1131333,18.34422065,58.56155227,17.78245087,347.1942004
10.26737462,201.9158933,11.98281714,136.7785546,13.70224099,68.82003025,14.98990413,357.2949341,16.26797985,289.4408476,17.48978794,218.66071,18.40176335,146.4548488,19.16197443,76.96714661,19.66761725,6.03955351,20.39078333,297.0854986,21.13044268,225.1496722,21.72347458,155.0088599,22.03334437,83.29354639,21.63983896,10.34958712,21.42459742,299.3166667,20.99935391,230.8435634,20.24463266,162.5755896,19.98465261,95.82889771,19.3412958,28.40513527,18.87342862,325.3100126,18.77098798,259.3591628,18.63861001,197.4410306,19.10744537,132.3606177,18.83292947,64.45930509,18.76124507,357.3393442,18.41634584,288.9950565,18.12314456,223.4858433,17.81808101,155.7638962,17.85491768,87.26868621,16.74152216,21.70526106,16.35542741,315.1496241,15.82946943,249.6288254,15.56594883,184.0736276,15.05639077,116.5520494,14.5221921,46.54063377,13.64601174,339.7240491
